f,s11
1000000000.0,(-0.20515696743936387+0.004301037877485425j)
1080000000.0,(-0.20889835653799743+0.007017728174949534j)
1160000000.0,(-0.21284884863411857+0.010158283762552282j)
1240000000.0,(-0.21692427920524543+0.013788293631518077j)
1320000000.0,(-0.22103283861246903+0.01794125036310456j)
1400000000.0,(-0.2250851320444683+0.022623351453240955j)
1480000000.0,(-0.2290005540238239+0.027819669301263818j)
1560000000.0,(-0.23271060957296952+0.033500398594105626j)
1640000000.0,(-0.23615997052835172+0.039626412778952215j)
1720000000.0,(-0.23930602510808083+0.0461537756739904j)
1800000000.0,(-0.24211754905602792+0.05303713748745385j)
1880000000.0,(-0.24457296504835738+0.0602321097049912j)
1960000000.0,(-0.24665850493190494+0.0676967896787797j)
2040000000.0,(-0.24836646594225947+0.07539262430823424j)
2120000000.0,(-0.24969366177141508+0.0832847884033031j)
2200000000.0,(-0.25064010883887855+0.09134222500612449j)
2280000000.0,(-0.251207950980436+0.09953746307462386j)
2360000000.0,(-0.2514006053744749+0.10784629834437143j)
2440000000.0,(-0.2512221032563724+0.11624739839067444j)
2520000000.0,(-0.25067659657467534+0.12472187348842752j)
2600000000.0,(-0.24976800324587106+0.13325284041561455j)
2680000000.0,(-0.2484997671178939+0.14182499608097393j)
2760000000.0,(-0.246874712950115+0.15042421092264746j)
2840000000.0,(-0.244894980956472+0.15903714765389107j)
2920000000.0,(-0.24256202935374468+0.16765090849817182j)
3000000000.0,(-0.2398766967096014+0.17625271308133858j)
3080000000.0,(-0.2368393185904822+0.18482960928394732j)
3160000000.0,(-0.23344989499731209+0.19336822035251341j)
3240000000.0,(-0.22970830627197567+0.20185453324076194j)
3320000000.0,(-0.22561457545427743+0.21027373534841523j)
3400000000.0,(-0.22116917432015692+0.21861010938763684j)
3480000000.0,(-0.21637336834545262+0.2268469988324385j)
3560000000.0,(-0.2112295923909267+0.23496685900175004j)
3640000000.0,(-0.205741843765158+0.24295141086484368j)
3720000000.0,(-0.19991607231233965+0.2507819155307453j)
3800000000.0,(-0.19376053824284473+0.2584395862681503j)
3880000000.0,(-0.187286097773749+0.26590615074995455j)
3960000000.0,(-0.18050636486912267+0.2731645677853578j)
4040000000.0,(-0.1734376856269833+0.28019988876351026j)
4120000000.0,(-0.16609885204024297+0.28700023316957696j)
4200000000.0,(-0.15851047668283905+0.29355781905217915j)
4280000000.0,(-0.15069395287188977+0.29986995325243015j)
4360000000.0,(-0.1426699401681842+0.305939843849804j)
4440000000.0,(-0.1344563470113981+0.31177705157677305j)
4520000000.0,(-0.12606583472611835+0.31739735262248286j)
4600000000.0,(-0.11750294294671389+0.3228217485807731j)
4680000000.0,(-0.10876103730277563+0.3280743376167772j)
4760000000.0,(-0.09981940687040526+0.33317876198350344j)
4840000000.0,(-0.09064099322366952+0.3381529791744646j)
4920000000.0,(-0.08117142015557899+0.3430021785070269j)
