f,s11
10000000000.0,(-0.6872048353678426+0.05893585625881525j)
10020000000.0,(-0.6866757506498218+0.05927245701474458j)
10040000000.0,(-0.6861368580304316+0.05960297474065213j)
10060000000.0,(-0.6855878885955411+0.05992707973506416j)
10080000000.0,(-0.6850285868044558+0.06024440896233579j)
10100000000.0,(-0.684458712919628+0.0605545665635547j)
10120000000.0,(-0.6838780454386851+0.06085712452508167j)
10140000000.0,(-0.6832863835186124+0.06115162350920917j)
10160000000.0,(-0.6826835493811463+0.061437573850751645j)
10180000000.0,(-0.682069390687639+0.061714456722603256j)
10200000000.0,(-0.6814437828709603+0.06198172547240835j)
10220000000.0,(-0.6808066314113334+0.06223880713148558j)
10240000000.0,(-0.6801578740424638+0.062485104096040314j)
10260000000.0,(-0.6794974828738403+0.06271999597949209j)
10280000000.0,(-0.6788254664147467+0.06294284163344607j)
10300000000.0,(-0.6781418714853086+0.06315298133346024j)
10320000000.0,(-0.6774467849998224+0.06334973912431704j)
10340000000.0,(-0.676740335607692+0.06353242531801523j)
10360000000.0,(-0.676022695177551+0.06370033913616886j)
10380000000.0,(-0.6752940801105616+0.06385277148696089j)
10400000000.0,(-0.674554752469484+0.06398900786526547j)
10420000000.0,(-0.6738050209108933+0.06410833136304574j)
10440000000.0,(-0.6730452414088832+0.0642100257756848j)
10460000000.0,(-0.6722758177597495+0.06429337878853042j)
10480000000.0,(-0.6714972018584641+0.06435768522665763j)
10500000000.0,(-0.670709893739238+0.0644022503497048j)
10520000000.0,(-0.6699144413741231+0.0644263931726312j)
10540000000.0,(-0.6691114402253677+0.06442944979241022j)
10560000000.0,(-0.6683015325491504+0.06441077670002342j)
10580000000.0,(-0.6674854064503069+0.06436975405667787j)
10600000000.0,(-0.666663794689726+0.06430578891294636j)
10620000000.0,(-0.6658374732482082+0.06421831834953691j)
10640000000.0,(-0.6650072596526944+0.06410681251864542j)
10660000000.0,(-0.6641740110729002+0.06397077756533008j)
10680000000.0,(-0.6633386221984384+0.06380975840907953j)
10700000000.0,(-0.662502022908516+0.06362334136670743j)
10720000000.0,(-0.6616651757481705+0.0634111565989032j)
10740000000.0,(-0.6608290732267695+0.06317288036417082j)
10760000000.0,(-0.6599947349560698+0.06290823706549778j)
10780000000.0,(-0.6591632046465541+0.06261700107686928j)
