f,s11
1000000000.0,(-0.17957501441715934+0.007513836285019007j)
1075000000.0,(-0.1810661254984295+0.007326524157318936j)
1150000000.0,(-0.18263322197559878+0.006765735295858607j)
1225000000.0,(-0.18420502798450808+0.005739378515147814j)
1300000000.0,(-0.18566473487095997+0.00411875888672893j)
1375000000.0,(-0.1867896853245995+0.001723803968395258j)
1450000000.0,(-0.18711987660832052-0.0016630607416729178j)
1525000000.0,(-0.18568786632877035-0.006142708589297453j)
1600000000.0,(-0.18063655304236073-0.010985710566296042j)
1675000000.0,(-0.1699006613225487-0.012478704726970415j)
1750000000.0,(-0.15724402493828135-0.003072959522862742j)
1825000000.0,(-0.15566671240185917+0.015609743044254358j)
1900000000.0,(-0.16643441987900615+0.02968780802708717j)
1975000000.0,(-0.1802646377379349+0.03563656171752424j)
2050000000.0,(-0.1932901953176397+0.03696531845705737j)
2125000000.0,(-0.20565587157225165+0.036189686897632016j)
2200000000.0,(-0.21847788302037585+0.034352828474060335j)
2275000000.0,(-0.23320006441443072+0.031812485078727776j)
2350000000.0,(-0.25192608213790074+0.02874988251204828j)
2425000000.0,(-0.2784859376572609+0.025765179112431907j)
2500000000.0,(-0.3212512168444976+0.02606750623357432j)
2575000000.0,(-0.3997548807726419+0.04836350129179017j)
2650000000.0,(-0.5082591517236174+0.20260440159763896j)
2725000000.0,(-0.2862963208430957+0.41309352270912475j)
2800000000.0,(-0.1431190431546494+0.2836445579064497j)
2875000000.0,(-0.14194827178974687+0.20388021405826032j)
2950000000.0,(-0.1584078752702786+0.167018399301272j)
3025000000.0,(-0.17595634836515026+0.1482847954213876j)
3100000000.0,(-0.19334269599560716+0.1384435431926735j)
3175000000.0,(-0.21139629345980288+0.13395653114588385j)
3250000000.0,(-0.23141659541172524+0.13365488820032542j)
3325000000.0,(-0.2551481228805635+0.1379257503549073j)
3400000000.0,(-0.2850628970192857+0.14924633817885136j)
3475000000.0,(-0.32430099972661014+0.17485921072238317j)
3550000000.0,(-0.3719630918397545+0.23506530024571076j)
3625000000.0,(-0.38490740402401713+0.3721309864170397j)
3700000000.0,(-0.21680800989962953+0.5031079797812695j)
3775000000.0,(-0.05256061738602813+0.40224130809476843j)
3850000000.0,(-0.043152854210870964+0.2920184168989115j)
3925000000.0,(-0.07198977630172555+0.23778216507245759j)
4000000000.0,(-0.10260317164050008+0.2128775683335079j)
4075000000.0,(-0.13072588681662442+0.2023943341994438j)
4150000000.0,(-0.15748096432276962+0.20028718632682585j)
4225000000.0,(-0.18482835964428798+0.2044445092142279j)
4300000000.0,(-0.21517272984410746+0.2149985623108356j)
4375000000.0,(-0.25191787567496887+0.23448328126977275j)
4450000000.0,(-0.3007424112437268+0.27040648717508736j)
4525000000.0,(-0.37152229305461215+0.346022420687215j)
4600000000.0,(-0.46397528973816266+0.5544279127381812j)
4675000000.0,(-0.11524108588755427+1.1405073628999831j)
4750000000.0,(0.5106856958177041+0.45226078431021643j)
4825000000.0,(0.23954917032016965+0.18144725513266285j)
4900000000.0,(0.09475135698887781+0.14426985217709687j)
4975000000.0,(0.012245053122671622+0.14232900116258285j)
5050000000.0,(-0.0449858428750912+0.14818302011860748j)
5125000000.0,(-0.0919694765903453+0.1561334183036393j)
5200000000.0,(-0.13674758530983733+0.16425807873413292j)
5275000000.0,(-0.18570146640915694+0.17072374527979728j)
5350000000.0,(-0.2463566518956056+0.17118996529168876j)
5425000000.0,(-0.3290354405979396+0.15224123812476392j)
5500000000.0,(-0.4368172993577821+0.07104445920548749j)
5575000000.0,(-0.47444131491836256-0.148646484851987j)
5650000000.0,(-0.25024431312059886-0.3092148163938652j)
5725000000.0,(-0.06792025303464809-0.21374735859933905j)
5800000000.0,(-0.02780556295065797-0.10089033836918952j)
5875000000.0,(-0.036291114142851556-0.02783772771842643j)
5950000000.0,(-0.0577314913092549+0.018429168262569445j)
