f,s11
10000000000.0,(-0.6749797373113775+0.07988621841134189j)
10020000000.0,(-0.6733708867857398+0.08010094843933906j)
10040000000.0,(-0.6717631863902317+0.08024991060014933j)
10060000000.0,(-0.6701598057865414+0.08033356417048097j)
10080000000.0,(-0.6685638773433772+0.08035254601647986j)
10100000000.0,(-0.6669784842985317+0.08030766811859494j)
10120000000.0,(-0.665406649087324+0.08019991415169549j)
10140000000.0,(-0.663851321926281+0.08003043513389525j)
10160000000.0,(-0.6623153697394497+0.07980054416713482j)
10180000000.0,(-0.6608015655121167+0.07951171030196164j)
10200000000.0,(-0.6593125781529497+0.0791655515679791j)
10220000000.0,(-0.6578509629407613+0.07876382721995233j)
10240000000.0,(-0.6564191526262636+0.07830842925743384j)
10260000000.0,(-0.6550194492524783+0.07780137328286112j)
10280000000.0,(-0.6536540167499579+0.07724478876929432j)
10300000000.0,(-0.6523248743548304+0.07664090881418542j)
10320000000.0,(-0.6510338908890083+0.07599205945975408j)
10340000000.0,(-0.6497827799328862+0.07530064866362378j)
10360000000.0,(-0.6485730959115974+0.07456915500532703j)
10380000000.0,(-0.6474062311066221+0.07380011621510785j)
10400000000.0,(-0.6462834135953139+0.07299611761115976j)
10420000000.0,(-0.6452057061119574+0.07215978053007291j)
10440000000.0,(-0.6441740058153587+0.07129375083287616j)
10460000000.0,(-0.6431890449398596+0.07040068756574407j)
10480000000.0,(-0.6422513922991555+0.06948325185025757j)
10500000000.0,(-0.6413614556054635+0.06854409607318959j)
10520000000.0,(-0.6405194845605312+0.06758585344022504j)
10540000000.0,(-0.6397255746697111+0.06661112795194929j)
10560000000.0,(-0.6389796717259532+0.06562248485395866j)
10580000000.0,(-0.6382815769070131+0.06462244160619675j)
10600000000.0,(-0.6376309524265523+0.06361345940970349j)
10620000000.0,(-0.6370273276779901+0.0625979353220085j)
10640000000.0,(-0.6364701058090212+0.06157819498550222j)
10660000000.0,(-0.6359585706645309+0.06055648598638189j)
10680000000.0,(-0.6354918940361987+0.059534971855281914j)
10700000000.0,(-0.6350691431583239+0.05851572671453251j)
10720000000.0,(-0.6346892883912338+0.05750073057121729j)
10740000000.0,(-0.6343512110360161+0.05649186524987029j)
10760000000.0,(-0.6340537112271248+0.055490910953805116j)
10780000000.0,(-0.6337955158526283+0.0544995434397363j)
10800000000.0,(-0.6335752864553448+0.05351933178655027j)
10820000000.0,(-0.6333916270718507+0.052551736735819275j)
10840000000.0,(-0.6332430919702073+0.051598109578927936j)
10860000000.0,(-0.6331281932512167+0.05065969156347555j)
10880000000.0,(-0.6330454082819893+0.04973761378993073j)
10900000000.0,(-0.6329931869345575+0.04883289756830121j)
10920000000.0,(-0.6329699586061125+0.04794645520382641j)
10940000000.0,(-0.6329741390011762+0.047079091180365636j)
10960000000.0,(-0.6330041366595749+0.04623150371019997j)
10980000000.0,(-0.6330583592174283+0.0454042866193593j)
