f,s11
1000000000.0,(0.0007286338957113308+2.275040127390202e-05j)
1065000000.0,(0.0007352848402248734+2.4229155853160077e-05j)
1130000000.0,(0.0007408217573918613+2.570790642780867e-05j)
1195000000.0,(0.0007454803641571583+2.7186652751329104e-05j)
1260000000.0,(0.0007494371831484001+2.8665394577485883e-05j)
1325000000.0,(0.0007528265249243605+3.0144131660340773e-05j)
1390000000.0,(0.0007557520463905906+3.162286375415756e-05j)
1455000000.0,(0.0007582947784813568+3.310159061331109e-05j)
1520000000.0,(0.0007605188040168923+3.458031199244781e-05j)
1585000000.0,(0.0007624753401866107+3.605902764644076e-05j)
1650000000.0,(0.0007642057181447755+3.753773733003751e-05j)
1715000000.0,(0.0007657435875390656+3.9016440798292385e-05j)
1780000000.0,(0.0007671165681153768+4.049513780629877e-05j)
1845000000.0,(0.0007683475013928752+4.1973828109358294e-05j)
1910000000.0,(0.0007694554093745666+4.345251146267787e-05j)
1975000000.0,(0.0007704562361219+4.493118762160602e-05j)
2040000000.0,(0.0007713634266287933+4.6409856341791344e-05j)
2105000000.0,(0.0007721883825503952+4.7888517378798874e-05j)
2170000000.0,(0.0007729408238393551+4.936717048814031e-05j)
2235000000.0,(0.0007736290778568818+5.084581542564997e-05j)
2300000000.0,(0.0007742603121145546+5.232445194727555e-05j)
2365000000.0,(0.0007748407228675021+5.3803079808767376e-05j)
2430000000.0,(0.0007753756888787301+5.528169876626155e-05j)
2495000000.0,(0.0007758698975122176+5.676030857566954e-05j)
2560000000.0,(0.0007763274487069589+5.8238908993386916e-05j)
2625000000.0,(0.0007767519411559906+5.97174997755082e-05j)
2690000000.0,(0.0007771465440860952+6.119608067847652e-05j)
2755000000.0,(0.0007775140573284135+6.26746514587509e-05j)
2820000000.0,(0.0007778569618073083+6.415321187288985e-05j)
2885000000.0,(0.0007781774621599787+6.563176167739776e-05j)
2950000000.0,(0.00077847752285453+6.711030062917826e-05j)
3015000000.0,(0.0007787588989183903+6.858882848499827e-05j)
3080000000.0,(0.0007790231621756053+7.006734500173815e-05j)
3145000000.0,(0.0007792717237271027+7.154584993649652e-05j)
3210000000.0,(0.0007795058532790839+7.30243430464131e-05j)
3275000000.0,(0.000779726695811597+7.450282408876394e-05j)
3340000000.0,(0.000779935285999293+7.598129282086122e-05j)
3405000000.0,(0.000780132560724277+7.745974900011954e-05j)
3470000000.0,(0.0007803193699632389+7.893819238432675e-05j)
3535000000.0,(0.0007804964862859565+8.041662273099668e-05j)
3600000000.0,(0.0007806646131664124+8.189503979801054e-05j)
3665000000.0,(0.0007808243922682004+8.33734433433696e-05j)
3730000000.0,(0.0007809764098512712+8.485183312513899e-05j)
3795000000.0,(0.0007811212024165633+8.633020890139233e-05j)
3860000000.0,(0.0007812592616920965+8.780857043075081e-05j)
3925000000.0,(0.0007813910390419474+8.928691747122307e-05j)
3990000000.0,(0.000781516949383019+9.076524978186868e-05j)
4055000000.0,(0.0007816373746596832+9.224356712111551e-05j)
4120000000.0,(0.0007817526669417876+9.372186924799253e-05j)
4185000000.0,(0.0007818631511861365+9.520015592142583e-05j)
4250000000.0,(0.0007819691277065715+9.667842690068186e-05j)
4315000000.0,(0.0007820708743836996+9.815668194503202e-05j)
4380000000.0,(0.0007821686486482478+9.963492081392053e-05j)
4445000000.0,(0.0007822626892620356+0.00010111314326702051j)
4510000000.0,(0.0007823532179210433+0.00010259134906415221j)
4575000000.0,(0.0007824404406997477+0.00010406953796516974j)
4640000000.0,(0.0007825245493554176+0.00010554770973029724j)
4705000000.0,(0.0007826057225069784+0.00010702586411957456j)
4770000000.0,(0.0007826841267010167+0.00010850400089392455j)
4835000000.0,(0.0007827599173809693+0.00010998211981352678j)
4900000000.0,(0.000782833239763553+0.00011146022063942952j)
4965000000.0,(0.0007829042296376041+0.00011293830313252003j)
5030000000.0,(0.0007829730140906152+0.00011441636705406874j)
5095000000.0,(0.0007830397121708568+0.0001158944121652881j)
5160000000.0,(0.0007831044354908944+0.0001173724382279225j)
5225000000.0,(0.0007831672887795527+0.00011885044500351227j)
5290000000.0,(0.0007832283703867776+0.00012032843225408337j)
5355000000.0,(0.0007832877727449478+0.00012180639974202052j)
5420000000.0,(0.0007833455827928592+0.00012328434722942082j)
5485000000.0,(0.000783401882364112+0.00012476227447907244j)
5550000000.0,(0.0007834567485433533+0.00012624018125337194j)
5615000000.0,(0.0007835102539957393+0.00012771806731561185j)
5680000000.0,(0.0007835624672671308+0.00012919593242902586j)
5745000000.0,(0.000783613453063937+0.00013067377635688144j)
5810000000.0,(0.0007836632725081004+0.00013215159886305341j)
5875000000.0,(0.0007837119833756687+0.00013362939971136998j)
5940000000.0,(0.0007837596403135602+0.00013510717866615393j)
6005000000.0,(0.0007838062950431506+0.0001365849354914233j)
6070000000.0,(0.0007838519965469674+0.00013806266995208062j)
6135000000.0,(0.0007838967912423782+0.0001395403818129557j)
6200000000.0,(0.0007839407231416644+0.00014101807083911853j)
6265000000.0,(0.0007839838340017169+0.00014249573679589407j)
6330000000.0,(0.0007840261634622308+0.00014397337944927955j)
6395000000.0,(0.0007840677491747568+0.00014545099856483524j)
6460000000.0,(0.0007841086269212973+0.00014692859390893538j)
6525000000.0,(0.0007841488307263866+0.00014840616524801892j)
6590000000.0,(0.0007841883929618957+0.00014988371234899887j)
6655000000.0,(0.0007842273444404089+0.00015136123497844044j)
6720000000.0,(0.0007842657145092044+0.00015283873290420467j)
