f,s11,ZL,ZL_a
1000000000.0,(-0.19418485017256887-0.024741108669224746j),(253.96888542957407-13.067696113297536j),376.77264413535164
1065000000.0,(-0.21284226574813422-0.03642646969619421j),(243.969442271297-18.64319947844427j),376.76763394866845
1130000000.0,(-0.255666822876181-0.02105002925008951j),(223.16894461484404-10.057281522635769j),376.76346337673596
1195000000.0,(-0.24708835077475194+0.027205806701153495j),(227.17598028061323+13.175140557421996j),376.7599547741741
1260000000.0,(-0.22387599401637878+0.03270082175737451j),(238.48214855822275+16.4386138952035j),376.7569751101768
1325000000.0,(-0.21495477694499984+0.02859939243754769j),(243.0970869983409+14.590976494473718j),376.7544231679752
1390000000.0,(-0.2124348176190226+0.02461986119445843j),(244.47199635544766+12.614660825931395j),376.75222083293045
1455000000.0,(-0.21287896701204118+0.021446623350364943j),(244.30514281020027+10.981757186775095j),376.7503070420573
1520000000.0,(-0.21512683100541757+0.018875868600180847j),(243.19939757645665+9.630317819537481j),376.7486335047427
1585000000.0,(-0.21883047184671253+0.016739268558707127j),(241.34718685990387+8.488832149271179j),376.747161625945
1650000000.0,(-0.22400073803163842+0.015009186306009607j),(238.75902815470556+7.547566970704585j),376.74586026064594
1715000000.0,(-0.23085682180075165+0.013854788560728585j),(235.3443204087627+6.889805429884163j),376.74470405245825
1780000000.0,(-0.23973647351763+0.013762976942743263j),(230.96168219318184+6.746461815882064j),376.7436721889537
1845000000.0,(-0.250902788783482+0.01575149782734098j),(225.51511553418445+7.583693557556477j),376.742747458399
1910000000.0,(-0.26400023771085357+0.021563779679164577j),(219.19515556610125+10.166656081471341j),376.7419155272779
1975000000.0,(-0.2769660320895918+0.033249700774151326j),(212.9157333795023+15.353513654457673j),376.7411643814554
2040000000.0,(-0.28537776079924326+0.0510058978426535j),(208.53211094158243+23.224576535010144j),376.74048388995215
2105000000.0,(-0.2852445189085081+0.0704734305624271j),(207.75676498328195+32.04952994828283j),376.7398654615232
2170000000.0,(-0.2779509904588604+0.08524668711185836j),(210.24778889231607+39.15541771958431j),376.73930177214294
2235000000.0,(-0.2689290743867631+0.0929811964004412j),(213.88015881898255+43.27779799942629j),376.7387865471446
2300000000.0,(-0.262185085191419+0.09563306938192173j),(216.8163014563475+44.97236611711913j),376.7383143858387
2365000000.0,(-0.2588865107912972+0.0959401409275847j),(218.33151475131234+45.35042767093672j),376.7378806193984
2430000000.0,(-0.25877531230841316+0.09576921438890684j),(218.3954800831951+45.27846677739056j),376.7374811949943
2495000000.0,(-0.2612771809257064+0.09617578165140474j),(217.19934094601464+45.28925404586951j),376.73711258077725
2560000000.0,(-0.2658762608960112+0.09780441071880618j),(214.95013606469064+45.71504429807188j),376.73677168753176
2625000000.0,(-0.27213398167967423+0.10117431070661276j),(211.8312621243057+46.8094823525657j),376.7364558037376
2690000000.0,(-0.2795771349264891+0.10682313083228022j),(208.03311185953578+48.81838148008647j),376.7361625414816
2755000000.0,(-0.28752635151935096+0.1153256430241685j),(203.81514214881147+52.000816129175305j),376.73588979119415
2820000000.0,(-0.2949073910874035+0.12715263732825843j),(199.58015698851278+56.59097590805182j),376.7356356836045
2885000000.0,(-0.30016793667264857+0.14231028402009618j),(195.92195766960424+62.68038821158304j),376.73539855762607
2950000000.0,(-0.30155953590078877+0.15982827023672383j),(193.56327129521713+70.03122944809667j),376.73517693314136
3015000000.0,(-0.29797874549983+0.17752878286075477j),(193.09999159286104+77.938184598861j),376.73496948784765
3080000000.0,(-0.28994039894432505+0.1927010376438121j),(194.62627568370934+85.35422832972719j),376.7347750374871
3145000000.0,(-0.27962440824655566+0.2035213927724285j),(197.55855832821905+91.34003787895332j),376.7345925189078
3210000000.0,(-0.26969281866831474+0.20994404580163192j),(200.89876494819856+95.51180116880477j),376.7344209754993
3275000000.0,(-0.26201595285978374+0.21330413455077846j),(203.7194126234654+98.1074509462987j),376.7342595446337
3340000000.0,(-0.25729478411349915+0.2153399427098284j),(205.46481804912773+99.71462925491534j),376.73410744679853
3405000000.0,(-0.25538308395662845+0.2175369953271031j),(205.95908615396112+100.97100792834394j),376.73396397616915
3470000000.0,(-0.2557156052708988+0.2209585721190438j),(205.27605711923556+102.41178236864621j),376.7338284924052
3535000000.0,(-0.25756016830430295+0.2263191709484779j),(203.61994180490746+104.44443015470506j),376.7337004134929
3600000000.0,(-0.26009310355265464+0.23408597811874088j),(201.26527899930016+107.37415171454815j),376.7335792094836
3665000000.0,(-0.26238068592421077+0.2445105703243804j),(198.54633016990937+111.42596859573088j),376.7334643970038
3730000000.0,(-0.26335269787505877+0.2575612499728736j),(195.86977300936366+116.73729574819188j),376.73335553442746
3795000000.0,(-0.2618581705056571+0.2727694628068024j),(193.71974651550704+123.31192336664263j),376.73325221762315
3860000000.0,(-0.2568923079231924+0.289072528268132j),(192.61846591386774+130.94511854880614j),376.7331540761977
3925000000.0,(-0.2480089550933852+0.30483195540640134j),(193.0104086627277+139.16247568452937j),376.7330607701722
3990000000.0,(-0.23573219277548754+0.318217740076047j),(195.0806234077173+147.24972865082265j),376.7329719870332
4055000000.0,(-0.22159854602859766+0.327906599774081j),(198.60020584936143+154.43331933477208j),376.73288743911274
4120000000.0,(-0.20763051976087712+0.3336643255110623j),(202.93600010449367+160.16057753685024j),376.73280686125497
4185000000.0,(-0.1955455958941741+0.33636787058438755j),(207.2661707871678+164.30863645766703j),376.7327300087349
4250000000.0,(-0.1862398857245759+0.33750895473734577j),(210.87099196160727+167.18498141161209j),376.732656655398
4315000000.0,(-0.17975795827723773+0.338609392712128j),(213.32070924478577+169.3547280349264j),376.7325865919942
4380000000.0,(-0.17555280428573652+0.34087146806415186j),(214.501338867506+171.43828212456864j),376.73251962468436
4445000000.0,(-0.17276661399520923+0.3450838366191523j),(214.54191761499962+173.98110311091583j),376.7324555736978
4510000000.0,(-0.17040859254537796+0.3516521302208168j),(213.72794318098053+177.40525556525805j),376.7323942721245
4575000000.0,(-0.16743866806491337+0.3606365671743248j),(212.44410131478827+182.00405166333778j),376.73233556482705
4640000000.0,(-0.16282077439785153+0.37174304083754156j),(211.14785379387877+187.93983831277626j),376.73227930745776
4705000000.0,(-0.15561687875328142+0.384273949325428j),(210.35317084197285+195.2218143744516j),376.73222536557046
4770000000.0,(-0.1451728137924959+0.3970999862698534j),(210.59442044201123+203.66129864985572j),376.73217361381694
4835000000.0,(-0.13138522217121096+0.4087593469432933j),(212.3415153558401+212.82702953820578j),376.7321239352175
4900000000.0,(-0.11492811382617808+0.4177767182169948j),(215.8590147754562+222.0508732094958j),376.73207622049955
4965000000.0,(-0.09723082391739139+0.42315741246105876j),(221.05346255523185+230.54161155336357j),376.7320303674966
5030000000.0,(-0.08008528057109046+0.42480703417894927j),(227.40908361436175+237.613992843303j),376.7319862806002
5095000000.0,(-0.06503698499872802+0.4235839955097172j),(234.1002891182239+242.93875375200633j),376.7319438702617
5160000000.0,(-0.052911846467566546+0.42094090288960656j),(240.25515498487198+246.66365959580736j),376.73190305253667
5225000000.0,(-0.04370660370259649+0.41840847430061545j),(245.22466204038702+249.3343245252318j),376.7318637486698
5290000000.0,(-0.0367799843065014+0.41720898852334887j),(248.7213337801336+251.68761363294328j),376.73182588471417
5355000000.0,(-0.031137215811199475+0.41809674302177j),(250.8075362036394+254.44930521963988j),376.73178939118367
