f,s11,ZL,ZL_a
1000000000.0,(-0.20544065322786934+0.006354413123801169j),(248.3092479117604+3.294916941119067j),376.7408947925618
1015000000.0,(-0.20616411787621794+0.006983338364310994j),(247.93055379857782+3.616663652486028j),376.740584342124
1030000000.0,(-0.2068859587807663+0.007627756396588947j),(247.55273116754967+3.9456545423772615j),376.74028735676563
1045000000.0,(-0.2076058723783907+0.008287602782296599j),(247.1759095945829+4.28183347893557j),376.74000306889803
1060000000.0,(-0.20832355559905705+0.008962807287976918j),(246.80021743804284+4.625142302491171j),376.7397307648601
1075000000.0,(-0.20903870641530772+0.009653293611873452j),(246.42578158881375+4.975520724245438j),376.7394697804346
1090000000.0,(-0.20975102438823967+0.010358979167191763j),(246.05272722614455+5.332906252226721j),376.7392194967944
1105000000.0,(-0.2104602112053279+0.011079774920118236j),(245.68117758139223+5.697234143311109j),376.7389793368297
1120000000.0,(-0.21116597120591846+0.01181558528053126j),(245.31125371151143+6.068437379940842j),376.7387487618184
1135000000.0,(-0.21186801189065912+0.012566308042983814j),(244.94307428388123+6.446446670024308j),376.7385272684027
1150000000.0,(-0.2125660444115964+0.013331834375282627j),(244.57675537380524+6.831190468410551j),376.7383143858387
1165000000.0,(-0.2132597840400908+0.014112048851763688j),(244.21241027579256+7.222595018251118j),376.73810967349345
1180000000.0,(-0.2139489506101476+0.014906829528188316j),(243.8501493294853+7.620584410513578j),376.73791271856317
1195000000.0,(-0.21463326893514204+0.01571604805509614j),(243.49007976090132+8.025080659900235j),376.73772313398985
1210000000.0,(-0.21531246919632352+0.016539569826350756j),(243.13230553945183+8.436003795414099j),376.7375405565585
1225000000.0,(-0.2159862873018355+0.017377254159599016j),(242.7769272510165+8.853271963840458j),376.73736464515616
1240000000.0,(-0.21665446521534223+0.018228954505363413j),(242.42404198718555+9.276801544446379j),376.7371950791771
1255000000.0,(-0.21731675125366612+0.019094518681519866j),(242.0737432506287+9.70650727324874j),376.73703155706124
1270000000.0,(-0.21797290035312164+0.0199737891299822j),(241.72612087642+10.142302375267823j),376.7368737949523
1285000000.0,(-0.2186226743045212+0.020866603192487867j),(241.38126096901564+10.58409870324668j),376.736721525465
1300000000.0,(-0.21926584195706342+0.021772793402496153j),(241.03924585448155+11.031806881402229j),376.7365744965514
1315000000.0,(-0.21990217939151913+0.02269218779033989j),(240.70015404747912+11.485336452862201j),376.73643247045715
1330000000.0,(-0.22053147006334958+0.02362461019887721j),(240.36406023243066+11.944596029515523j),376.7362952227598
1345000000.0,(-0.22115350491654232+0.02456988060707845j),(240.03103525822945+12.409493443117064j),376.7361625414816
1360000000.0,(-0.22176808246910018+0.02552781545910115j),(239.7011461458039+12.879935896561559j),376.7360342262701
1375000000.0,(-0.2223750088712654+0.026498227996597845j),(239.37445610779852+13.355830114352017j),376.73591008764214
1390000000.0,(-0.22297409793763032+0.027480928592137775j),(239.05102457961544+13.837082491365415j),376.7357899462833
1405000000.0,(-0.2235651711544044+0.028475725081811662j),(238.7309072610291+14.32359923912241j),376.7356736324
1420000000.0,(-0.22414805766315507+0.029482423095235515j),(238.41415616758184+14.815286528846368j),376.7355609851196
1435000000.0,(-0.22472259422240554+0.030500826381351234j),(238.100819690955+15.31205063069286j),376.73545185193353
1450000000.0,(-0.22528862514848896+0.031530737128565856j),(237.79094266752887+15.813798048603678j),376.73534608818085
1465000000.0,(-0.2258460022370953+0.03257195627793052j),(237.48456645433808+16.320435650321215j),376.7352435565686
1480000000.0,(-0.22639458466695514+0.033624283828225784j),(237.1817290116513+16.831870792178574j),376.7351441267263
1495000000.0,(-0.22693423888708228+0.03468751913193506j),(236.88246499142923+17.3480114383366j),376.7350476747908
1510000000.0,(-0.22746483848901097+0.035761461181259876j),(236.5868058309263+17.86876627422104j),376.7349540830208
1525000000.0,(-0.22798626406541572+0.036845908883431866j),(236.29477985073964+18.394044813957418j),376.734863239437
1540000000.0,(-0.2284984030564857+0.037940661324715685j),(236.00641235663392+18.92375750166569j),376.7347750374871
1555000000.0,(-0.22900114958538642+0.03904551802261148j),(235.72172574450093+19.457815806525986j),376.73468937573364
1570000000.0,(-0.22949440428408935+0.040160279165867764j),(235.44073960785127+19.996132311570825j),376.73460615756136
1585000000.0,(-0.22997807411081123+0.04128474584201755j),(235.16347084726698+20.538620796201574j),376.73452529090525
1600000000.0,(-0.23045207216025507+0.04241872025224012j),(234.8899337812775+21.08519631246293j),376.7344466879957
1615000000.0,(-0.2309163174677737+0.043562005913443363j),(234.62014025816364+21.63577525514673j),376.7343702651203
1630000000.0,(-0.23137073480854395+0.044714407847525624j),(234.35409976822078+22.190275425819085j),376.7342959424005
1645000000.0,(-0.231815254492757+0.045875732757851874j),(234.09181955605789+22.74861609089419j),376.7342236435833
1660000000.0,(-0.23224981215778837+0.04704578919304876j),(233.8333047325342+23.310718033901896j),376.7341532958452
1675000000.0,(-0.23267434855824418+0.04822438769825399j),(233.57855838597598+23.876503602105952j),376.734084829609
1690000000.0,(-0.23308880935471785+0.04941134095403878j),(233.3275816923459+24.44589674765834j),376.73401817837146
1705000000.0,(-0.23349314490204018+0.05060646390323097j),(233.08037402406993+25.018823063474343j),376.73395327854183
1720000000.0,(-0.23388731003774077+0.05180957386593085j),(232.83693305725652+25.59520981403493j),376.73389006929034
1735000000.0,(-0.2342712638713851+0.05302049064302425j),(232.5972548770736+26.174985961320864j),376.7338284924052
1750000000.0,(-0.23464496957539618+0.0542390366085295j),(232.36133408107423+26.75808218609372j),376.733768492159
1765000000.0,(-0.23500839417791858+0.05546503679115051j),(232.12916388028984+27.344430904744844j),376.73371001518194
1780000000.0,(-0.23536150835822067+0.05669831894539747j),(231.90073619793606+27.933966281926363j),376.73365301034374
1795000000.0,(-0.235704286245104+0.05793871361268179j),(231.67604176559243+28.526624239189367j),376.73359742864164
1810000000.0,(-0.2360367052187128+0.05918605417277495j),(231.45507021675+29.122342459843136j),376.7335432230947
1825000000.0,(-0.2363587457161181+0.06044017688605019j),(231.23781017762968+29.721060390256095j),376.73349034864515
1840000000.0,(-0.23667039104099208+0.06170092092691256j),(231.02424935520068+30.32271923780825j),376.73343876206394
1855000000.0,(-0.23697162717765644+0.06296812840883405j),(230.8143746223424+30.927261965704744j),376.73338842186314
1870000000.0,(-0.23726244260974783+0.06424164440140774j),(230.60817210010853+31.534633284854735j),376.7333392882119
1885000000.0,(-0.2375428281437119+0.06552131693982645j),(230.4056272370677+32.14477964301106j),376.7332913228579
1900000000.0,(-0.23781277673729875+0.06680699702719813j),(230.20672488570807+32.757649211366j),376.73324448905277
1915000000.0,(-0.23807228333321317+0.06809853863008553j),(230.01144937590297+33.373191868782j),376.733198751482
1930000000.0,(-0.23832134469803026+0.06939579866767176j),(229.81978458544964+33.99135918384148j),376.7331540761977
1945000000.0,(-0.2385599592664773+0.07069863699492517j),(229.63171400769764+34.61210439488163j),376.7331104305564
1960000000.0,(-0.23878812699114574+0.07200691638013583j),(229.44722081629527+35.235382388177754j),376.7330677831586
1975000000.0,(-0.23900584919768575+0.07332050247718627j),(229.2662879270882+35.861149674431566j),376.7330261037929
1990000000.0,(-0.2392131284455096+0.07463926379290328j),(229.08889805721245+36.48936436371168j),376.73298536338217
2005000000.0,(-0.23940996839401546+0.07596307164982756j),(228.91503378142693+37.1199861389852j),376.7329455339328
2020000000.0,(-0.23959637367432715+0.07729180014472493j),(228.74467758573834+37.75297622837367j),376.7329065884869
2035000000.0,(-0.23977234976653053+0.07862532610315395j),(228.5778119183741+38.38829737625927j),376.73286850107627
2050000000.0,(-0.23993790288237626+0.07996352903038317j),(228.41441923815947+39.02591381335597j),376.7328312466793
2065000000.0,(-0.2400930398534059+0.08130629105894933j),(228.25448206036452+39.66579122585889j),376.7327948011801
2080000000.0,(-0.2402377680244462+0.08265349689312859j),(228.09798300008043+40.30789672377423j),376.732759141329
2095000000.0,(-0.24037209515241686+0.08400503375057909j),(227.94490481319212+40.952198808525296j),376.73272424470554
2110000000.0,(-0.24049602931037947+0.08536079130140922j),(227.7952304350132+41.5986673399276j),376.73269008968373
2125000000.0,(-0.24060957879675665+0.08672066160489801j),(227.64894301664754+42.24727350261162j),376.732656655398
2140000000.0,(-0.24071275204964032+0.08808453904410625j),(227.50602595914728+42.89798977197831j),376.73262392171137
2155000000.0,(-0.24080555756611113+0.08945232025857673j),(227.36646294552966+43.55078987975133j),376.73259186918534
2170000000.0,(-0.24088800382647693+0.0908239040753359j),(227.2302379707224+44.205648779198256j),376.7325604790511
2185000000.0,(-0.24096009922334924+0.09219919143838638j),(227.09733536949852+44.86254261008033j),376.7325297331815
2200000000.0,(-0.24102185199546558+0.09357808533686372j),(226.9677398424665+45.5214486633833j),376.73249961406566
2215000000.0,(-0.24107327016616345+0.09496049073204338j),(226.84143648017792+46.182345345888095j),376.7324701047832
2230000000.0,(-0.24111436148642637+0.09634631448334545j),(226.71841078541098+46.84521214462108j),376.73244118898134
2245000000.0,(-0.24114513338239743+0.09773546527349936j),(226.59864869369233+47.51002959123118j),376.7324128508515
2260000000.0,(-0.24116559290728415+0.0991278535330126j),(226.48213659210955+48.17677922633242j),376.732385075108
2275000000.0,(-0.24117574669756014+0.10052339136407734j),(226.36886133647224+48.8454435638452j),376.7323578469676
2290000000.0,(-0.24117560093337434+0.10192199246404976j),(226.2588102668744+49.51600605537161j),376.73233115212935
2305000000.0,(-0.2411651613030912+0.10332357204862229j),(226.15197122170514+50.18845105463089j),376.7323049767565
2320000000.0,(-0.2411444329718732+0.10472804677481039j),(226.0483325501583+50.8627637819843j),376.73227930745776
2335000000.0,(-0.2411134205542246+0.10613533466385988j),(225.94788312328697+51.53893028907005j),376.7322541312708
2350000000.0,(-0.2410721280904256+0.10754535502419035j),(225.85061234364233+52.21693742357358j),376.7322294356457
2365000000.0,(-0.24102055902677408+0.10895802837446848j),(225.75651015354143+52.896772794148674j),376.73220520842926
2380000000.0,(-0.24095871619956724+0.1103732763669148j),(225.66556704199922+53.57842473550997j),376.7321814378499
2395000000.0,(-0.2408866018227532+0.11179102171094105j),(225.57777405036094+54.26188227371318j),376.73215811250356
2410000000.0,(-0.24080421747918543+0.11321118809720158j),(225.49312277666792+54.947135091634166j),376.7321352213402
2425000000.0,(-0.24071156411541517+0.11463370012216079j),(225.41160537878758+55.6341734946671j),376.73211275365026
2440000000.0,(-0.24060864203996296+0.11605848321325303j),(225.33321457633437+56.32298837664771j),376.7320906990523
2455000000.0,(-0.24049545092500982+0.11748546355472891j),(225.25794365140922+57.013571186019405j),376.7320690474814
2470000000.0,(-0.240371989811453+0.11891456801427004j),(225.1857864481778+57.70591389225124j),376.7320477891768
2485000000.0,(-0.2402382571172697+0.12034572407045889j),(225.1167373713123+58.40000895252112j),376.7320269146721
2500000000.0,(-0.24009425064914403+0.12177885974118591j),(225.05079138331064+59.09584927867442j),376.73200641478337
2515000000.0,(-0.23993996761730169+0.12321390351308298j),(224.9879440007143+59.793428204472335j),376.7319862806002
2530000000.0,(-0.2397754046535082+0.1246507842720676j),(224.9281912892348+60.49273945314113j),376.73196650347546
2545000000.0,(-0.23960055783218404+0.12608943123508454j),(224.87152985780492+61.19377710523583j),376.7319470750159
2560000000.0,(-0.23941542269459087+0.12752977388313577j),(224.8179568515616+61.89653556683333j),376.7319279870736
2575000000.0,(-0.2392199942760475+0.12897174189568986j),(224.76746994377223+62.60100953806968j),376.7319092317373
2590000000.0,(-0.2390142671361295+0.13041526508656565j),(224.7200673267081+63.30719398203938j),376.7318908013241
2605000000.0,(-0.238798235391809+0.13186027334138256j),(224.6757477014738+64.01508409407269j),376.73187268837177
2620000000.0,(-0.23857189275349036+0.13330669655668834j),(224.63451026679348+64.7246752714161j),376.7318548856308
2635000000.0,(-0.23833523256390227+0.13475446458085413j),(224.5963547067586+65.43596308333169j),376.73183738605775
2650000000.0,(-0.2380882478397903+0.1362035071568575j),(224.56128117753764+66.1489432416457j),376.7318201828078
2665000000.0,(-0.23783093131637004+0.13765375386705858j),(224.52929029304957+66.86361157177016j),376.73180326922835
2680000000.0,(-0.23756327549448533+0.13910513408008998j),(224.50038310959968+67.57996398422901j),376.73178663885216
2695000000.0,(-0.2372852726904206+0.14055757689997733j),(224.47456110947863+68.29799644671871j),376.73177028539186
2710000000.0,(-0.23699691508830742+0.142011011117625j),(224.45182618352226+69.01770495674306j),376.73175420273327
2725000000.0,(-0.23669819479506288+0.14346536516478978j),(224.43218061263408+69.73908551485658j),376.73173838493034
2740000000.0,(-0.23638910389779536+0.1449205670706943j),(224.41562704826458+70.46213409856604j),376.73172282619896
2755000000.0,(-0.23606963452359944+0.14637654442140544j),(224.40216849185393+71.18684663692737j),376.7317075209124
2770000000.0,(-0.23573977890166417+0.14783322432214666j),(224.39180827323162+71.91321898589877j),376.73169246359566
2785000000.0,(-0.2353995294276021+0.1492905333626804j),(224.38455002798074+72.64124690449475j),376.7316776489208
2800000000.0,(-0.23504887872990649+0.15074839758594408j),(224.38039767376455+73.37092603181159j),376.73166307170237
2815000000.0,(-0.23468781973842795+0.15220674246008153j),(224.3793553856243+74.10225186497583j),376.7316487268925
2830000000.0,(-0.2343163457547544+0.15366549285406494j),(224.38142757025224+74.83521973809509j),376.73163460957693
2845000000.0,(-0.233934450524364+0.15512457301707466j),(224.38661883925158+75.56982480228037j),376.7316207149704
2860000000.0,(-0.23354212831041424+0.15658390656182064j),(224.3949339813938+76.30606200681729j),376.731607038413
2875000000.0,(-0.2331393739690084+0.15804341645200712j),(224.40637793388996+77.0439260815784j),376.73159357536605
2890000000.0,(-0.23272618302577006+0.159503024994114j),(224.42095575269755+77.78341152075508j),376.73158032140816
2905000000.0,(-0.23230255175354245+0.1609626538337142j),(224.43867258188484+78.52451256801594j),376.73156727223204
2920000000.0,(-0.23186847725100615+0.16242222395652067j),(224.45953362208326+79.26722320318808j),376.73155442364055
2935000000.0,(-0.23142395752199657+0.1638816556943674j),(224.48354409806333+80.01153713056819j),376.7315417715436
2950000000.0,(-0.23096899155527595+0.16534086873633874j),(224.51070922547535+80.75744776898048j),376.73152931195506
2965000000.0,(-0.2305035794045002+0.16679978214525323j),(224.5410341768032+81.50494824369747j),376.7315170409888
2980000000.0,(-0.23002772226809612+0.16825831437971098j),(224.5745240465874+82.25403138035016j),376.7315049548569
2995000000.0,(-0.22954142256873591+0.1697163833219264j),(224.61118381598135+83.00468970096207j),376.7314930498656
3010000000.0,(-0.22904468403207964+0.17117390631154236j),(224.65101831671618+83.75691542224075j),376.73148132241323
3025000000.0,(-0.22853751176442308+0.17263080018563465j),(224.69403219455555+84.51070045626909j),376.7314697689869
3040000000.0,(-0.22801991232886398+0.1740869813251157j),(224.74022987233698+85.26603641374989j),376.7314583861605
3055000000.0,(-0.2274918938195696+0.17554236570772286j),(224.7896155127043+86.02291460995211j),376.7314471705917
3070000000.0,(-0.22695346593369806+0.17699686896778194j),(224.84219298065105+86.78132607351971j),376.73143611901935
3085000000.0,(-0.2264046400404975+0.17845040646292645j),(224.89796580600702+87.54126155830836j),376.73142522826186
3100000000.0,(-0.22584542924707127+0.17990289334791698j),(224.95693714601418+88.3027115584071j),376.73141449521415
3115000000.0,(-0.2252758484602654+0.18135424465573682j),(225.01910974815465+89.06566632652992j),376.7314039168458
3130000000.0,(-0.22469591444409928+0.18280437538606398j),(225.08448591341073+89.83011589593508j),376.73139349019874
3145000000.0,(-0.22410564587213447+0.18425320060125064j),(225.15306746014963+90.59605010605779j),376.73138321238537
3160000000.0,(-0.2235050633741188+0.18570063552987337j),(225.22485568885347+91.36345863202209j),376.7313730805865
3175000000.0,(-0.22289418957624024+0.18714659567792233j),(225.29985134792227+92.13233101821167j),376.7313630920492
3190000000.0,(-0.22227304913425605+0.18859099694764925j),(225.37805460080972+92.90265671607294j),376.73135324408526
3205000000.0,(-0.22164166875874786+0.19003375576405346j),(225.45946499476645+93.67442512631403j),376.7313435340692
3220000000.0,(-0.22100007723171392+0.1914747892089639j),(225.54408143148746+94.44762564567269j),376.73133395943654
3235000000.0,(-0.22034830541366657+0.19291401516260767j),(225.63190213998993+95.22224771840456j),376.7313245176822
3250000000.0,(-0.21968638624038125+0.19435135245252114j),(225.7229246520633+95.99828089264554j),376.73131520635854
3265000000.0,(-0.21901435470840036+0.19578672100960404j),(225.8171457806665+96.7757148817887j),376.7313060230742
3280000000.0,(-0.21833224784837232+0.1972200420310369j),(225.91456160166825+97.55453963099706j),376.73129696549245
3295000000.0,(-0.2176401046852812+0.1986512381497606j),(226.01516743934806+98.33474538897306j),376.7312880313294
3310000000.0,(-0.2169379661845735+0.20008023361007157j),(226.11895785612188+99.11632278506278j),376.7312792183531
3325000000.0,(-0.2162258751832092+0.2015069544488981j),(226.22592664695213+99.89926291178168j),376.73127052438144
3340000000.0,(-0.2155038763046011+0.20293132868216326j),(226.33606683895903+100.68355741279963j),376.7312619472816
3355000000.0,(-0.21477201585643146+0.20435328649558857j),(226.44937069675655+101.46919857640486j),376.7312534849679
3370000000.0,(-0.21403034171029642+0.20577276043917764j),(226.5658297340775+102.25617943443288j),376.7312451354015
3385000000.0,(-0.2132789031621522+0.20718968562453197j),(226.6854347322667+103.04449386661342j),376.73123689658803
3400000000.0,(-0.21251775077253407+0.20860399992401468j),(226.80817576625307+103.83413671023871j),376.73122876657754
3415000000.0,(-0.2117469361855205+0.2100156441706939j),(226.9340422386368+104.62510387502796j),376.7312207434626
3430000000.0,(-0.21096651192547042+0.21142456235782334j),(227.06302292254355+105.41739246298604j),376.7312128253773
3445000000.0,(-0.21017653117054866+0.21283070183654457j),(227.1951060139303+106.21100089303408j),376.7312050104965
3460000000.0,(-0.20937704750215277+0.21423401351029558j),(227.33027919403006+107.0059290300905j),376.73119729703427
3475000000.0,(-0.2085681146293616+0.21563445202432754j),(227.46852970265226+107.8021783182537j),376.7311896832434
3490000000.0,(-0.2077497860876279+0.21703197594851667j),(227.609844423063+108.59975191762926j),376.7311821674138
3505000000.0,(-0.20692211491100754+0.21842654795154964j),(227.75420997917553+109.398654844293j),376.7311747478724
3520000000.0,(-0.20608515327732657+0.21981813496437333j),(227.90161284578795+110.19889411278034j),376.73116742298123
3535000000.0,(-0.20523895212579646+0.22120670833064032j),(228.05203947260406+111.00047888041138j),376.73116019113723
3550000000.0,(-0.20438356074672664+0.222592243941705j),(228.20547642276838+111.80342059265598j),376.73115305077107
3565000000.0,(-0.2035190263431554+0.2239747223535483j),(228.36191052662426+112.60773312863792j),376.7311460003464
3580000000.0,(-0.2026453935643533+0.22535412888284426j),(228.52132905140405+113.41343294577842j),376.731139038359
3595000000.0,(-0.20176270401142918+0.2267304536791792j),(228.68371988749712+114.22053922243632j),376.73113216333604
3610000000.0,(-0.2008709957153944+0.2281036917702783j),(228.84907175195133+115.02907399730603j),376.73112537383486
3625000000.0,(-0.19997030258839216+0.2294738430769022j),(229.01737440976663+115.83906230417713j),376.73111866844306
3640000000.0,(-0.19906065384899188+0.23084091239389812j),(229.18861891352415+116.65053230053326j),376.7311120457769
3655000000.0,(-0.19814207342281118+0.23220490933372762j),(229.36279786179676+117.4635153883181j),376.73110550448143
3670000000.0,(-0.19721457932003572+0.23356584822862073j),(229.53990567671664+118.27804632504312j),376.73109904322894
3685000000.0,(-0.1962781829917756+0.23492374798735363j),(229.71993890098233+119.09416332325702j),376.73109266071856
3700000000.0,(-0.19533288866760062+0.23627863190249387j),(229.90289651447307+119.91190813622667j),376.73108635567627
3715000000.0,(-0.1943786926770399+0.23763052740382076j),(230.08878027050807+120.73132612750763j),376.7310801268533
3730000000.0,(-0.19341558275827855+0.2389794657535216j),(230.27759505165594+121.55246632191542j),376.7310739730262
3745000000.0,(-0.19244353735780428+0.24032548167865225j),(230.46934924482966+122.37538143522173j),376.73106789299555
3760000000.0,(-0.1914625249252907+0.24166861293625205j),(230.6640551352308+123.20012787970616j),376.73106188558637
3775000000.0,(-0.19047250320858622+0.24300889980652726j),(230.8617293184898+124.02676574254573j),376.7310559496466
3790000000.0,(-0.1894734185543352+0.24434638450934792j),(231.06239313013413+124.85535873375953j),376.731050084047
3805000000.0,(-0.18846520522030025+0.245681110539464j),(231.26607309129747+125.68597410032845j),376.7310442876806
3820000000.0,(-0.18744778470635454+0.24701312191577615j),(231.4728013692351+126.51868250282868j),376.7310385594622
3835000000.0,(-0.18642106511164122+0.24834246234012847j),(231.68261625100743+127.35355785078794j),376.7310328983275
3850000000.0,(-0.18538494052634327+0.2496691742612182j),(231.8955626282922+128.1906770927533j),376.73102730323336
3865000000.0,(-0.18433929046727407+0.25099329783938623j),(232.11169249095343+129.03011995687453j),376.73102177315616
3880000000.0,(-0.18328397936732668+0.2523148698082554j),(232.33106542664262+129.87196863762063j),376.7310163070927
3895000000.0,(-0.18221885612988054+0.2536339222296214j),(232.55374912317913+130.71630742410062j),376.73101090405885
3910000000.0,(-0.1811437537600125+0.25495048113813706j),(232.77981987014704+131.5632222652215j),376.73100556308896
3925000000.0,(-0.18005848908555763+0.25626456507308665j),(233.00936305548896+132.41280026686482j),376.7310002832363
3940000000.0,(-0.17896286258197966+0.25757618349478106j),(233.24247365245546+133.26512911599244j),376.7309950635719
3955000000.0,(-0.17785665831614625+0.2588853350839812j),(233.47925669160753+134.1202964265707j),376.7309899031844
3970000000.0,(-0.17673964402519907+0.2601920059233931j),(233.71982771196326+134.97838900204377j),376.73098480117955
