f,s11,ZL,ZL_a
1000000000.0,(0.26835311611945073-0.009224562806061721j),(652.938929679614-12.982145376742862j),376.7408947925618
1015000000.0,(0.2505721175456091+0.016747794424226994j),(628.1660645517892+22.457090755811777j),376.740584342124
1030000000.0,(0.24646260122506775-0.014753605281809436j),(622.8011364337609-19.57014960823184j),376.74028735676563
1045000000.0,(0.27339464277165243+0.008308974427867198j),(660.1109935841134+11.856736715458975j),376.74000306889803
1060000000.0,(0.23682078227720166+0.00677012712137622j),(610.4729114680673+8.757517144779268j),376.7397307648601
1075000000.0,(0.2652727915328338-0.018670009235090244j),(648.1208004341215-26.042523659225314j),376.7394697804346
1090000000.0,(0.25836167917404723+0.023202524112736742j),(638.2321588364133+31.753884903475214j),376.7392194967944
1105000000.0,(0.23676580418182247-0.012811119408212305j),(610.2001971623688-16.566075928005123j),376.7389793368297
1120000000.0,(0.2817098718382386-0.0005132877488846526j),(672.2483989385404-0.7496027448269063j),376.7387487618184
1135000000.0,(0.2359652520334254+0.017474447598088166j),(608.9275336221466+22.5434379471435j),376.7385272684027
1150000000.0,(0.25609658263499346-0.027447657697997622j),(634.7535570335203-37.320816120680895j),376.7383143858387
1165000000.0,(0.271206757694189+0.02664552251036565j),(655.7500295404373+37.74895863203722j),376.73810967349345
1180000000.0,(0.22681205976874322-0.0058582409662235576j),(597.7115503201766-7.383146408337223j),376.73791271856317
1195000000.0,(0.28593327955798753-0.015866406936633843j),(677.9307039935193-23.434502643767324j),376.73772313398985
1210000000.0,(0.24030497577362592+0.03057666271046804j),(613.4709500758978+39.85450748732064j),376.7375405565585
1225000000.0,(0.2416715715745137-0.03187904830236302j),(615.1092785481945-41.695821838761994j),376.73736464515616
1240000000.0,(0.2890208697091388+0.023698776655057437j),(681.8566942593419+35.285677290666676j),376.7371950791771
1255000000.0,(0.21881597054593108+0.00660898002328746j),(587.7221849143948+8.159526378681738j),376.73703155706124
1270000000.0,(0.281164710484691-0.03545235880101305j),(668.9066427089193-51.570268830351786j),376.7368737949523
1285000000.0,(0.25168569970641785+0.044596457095324976j),(626.5941309756734+59.794395614821575j),376.736721525465
1300000000.0,(0.22392469992217354-0.029306021807390743j),(592.75731292304-36.6098611874406j),376.7365744965514
1315000000.0,(0.3087467755359574+0.009249901579774773j),(713.0783346476401+14.583193219595566j),376.73643247045715
1330000000.0,(0.21500094583489993+0.0242886868238954j),(582.1845352341801+29.670007392110502j),376.7362952227598
1345000000.0,(0.2643300500797264-0.05346514409896384j),(642.0815878425974-74.04303769750301j),376.7361625414816
1360000000.0,(0.272806263444117+0.05632833016112575j),(653.2208239291048+79.7803213111605j),376.7360342262701
1375000000.0,(0.20620942831756794-0.018467394403769485j),(571.9579263631593-22.071190904962325j),376.73591008764214
1390000000.0,(0.32215823767971424-0.020660073615545716j),(733.8069800571855-33.84845351361301j),376.7357899462833
1405000000.0,(0.2178941009829058+0.046577700594868j),(583.2474344542045+57.17103763158212j),376.7356736324
1420000000.0,(0.2374498213003555-0.062389964558000846j),(604.7878406199759-80.3058106201174j),376.7355609851196
1435000000.0,(0.30637384954048996+0.05966461186398444j),(701.5641412434663+92.75360603476128j),376.73545185193353
1450000000.0,(0.19187828022354741+0.0005130108078986353j),(555.6370553615942+0.5918874684650405j),376.73534608818085
1465000000.0,(0.3162831816900632-0.06200873779499896j),(716.2955049928398-99.1308905581834j),376.7352435565686
