f,s11,ZL,ZL_a
1000000000.0,(0.0007721772281391158+8.412819789273759e-05j),(377.32316054359745+0.06348707334341859j),376.7408947925618
1015000000.0,(0.0007725892493868698+8.539012081283757e-05j),(377.3231603821641+0.06443937943436522j),376.740584342124
1030000000.0,(0.0007729834004805045+8.665204373400727e-05j),(377.32316021832713+0.06539168552494792j),376.74028735676563
1045000000.0,(0.0007733607001019866+8.791396665622633e-05j),(377.3231600520868+0.06634399161509351j),376.74000306889803
1060000000.0,(0.0007737220953657159+8.917588957929518e-05j),(377.3231598834429+0.06729629770478614j),376.7397307648601
1075000000.0,(0.0007740684677715645+9.04378125034069e-05j),(377.3231597123956+0.06824860379406997j),376.7394697804346
1090000000.0,(0.0007744006385813267+9.169973542840354e-05j),(377.3231595389448+0.06920090988290094j),376.7392194967944
1105000000.0,(0.0007747193736941246+9.296165835435015e-05j),(377.3231593630905+0.07015321597133227j),376.7389793368297
1120000000.0,(0.0007750253880650398+9.422358128118856e-05j),(377.32315918483283+0.0711055220592912j),376.7387487618184
1135000000.0,(0.0007753193497162998+9.54855042088887e-05j),(377.32315900417154+0.07205782814682632j),376.7385272684027
1150000000.0,(0.0007756018833896289+9.674742713742682e-05j),(377.3231588211068+0.073010134233847j),376.7383143858387
1165000000.0,(0.0007758735738645426+9.800935006676518e-05j),(377.3231586356386+0.07396244032042071j),376.73810967349345
1180000000.0,(0.0007761349689897057+9.927127299697842e-05j),(377.323158447767+0.07491474640654217j),376.73791271856317
1195000000.0,(0.0007763865824454271+0.00010053319592806724j),(377.3231582574919+0.07586705249220281j),376.73772313398985
1210000000.0,(0.000776628896269571+0.00010179511885983887j),(377.3231580648132+0.07681935857733586j),376.7375405565585
1225000000.0,(0.0007768623631681807+0.00010305704179238734j),(377.32315786973106+0.07777166466197115j),376.73736464515616
1240000000.0,(0.0007770874086319878+0.00010431896472572929j),(377.32315767224566+0.07872397074616608j),376.7371950791771
1255000000.0,(0.000777304432875449+0.00010558088765977536j),(377.3231574723566+0.07967627682982144j),376.73703155706124
1270000000.0,(0.0007775138126181276+0.00010684281059471133j),(377.32315727006414+0.08062858291299954j),376.7368737949523
1285000000.0,(0.0007777159027203165+0.00010810473353023594j),(377.3231570653681+0.08158088899561518j),376.736721525465
1300000000.0,(0.0007779110376877051+0.00010936665646649954j),(377.32315685826865+0.08253319507775499j),376.7365744965514
1315000000.0,(0.0007780995330570521+0.00011062857940351712j),(377.32315664876563+0.08348550115933996j),376.73643247045715
1330000000.0,(0.0007782816866714803+0.00011189050234128797j),(377.3231564368593+0.084437807240444j),376.7362952227598
1345000000.0,(0.0007784577798579607+0.00011315242527966934j),(377.3231562225494+0.08539011332095538j),376.7361625414816
1360000000.0,(0.0007786280785159115+0.00011441434821882614j),(377.32315600583615+0.0863424194009505j),376.7360342262701
1375000000.0,(0.0007787928341189655+0.00011567627115861909j),(377.32315578671927+0.08729472548035201j),376.73591008764214
1390000000.0,(0.0007789522846463943+0.00011693819409915103j),(377.32315556519893+0.08824703155925773j),376.7357899462833
1405000000.0,(0.0007791066554407862+0.00011820011704025115j),(377.3231553412752+0.08919933763757365j),376.7356736324
1420000000.0,(0.0007792561600063905+0.00011946203998212533j),(377.3231551149479+0.09015164371531546j),376.7355609851196
1435000000.0,(0.0007794010007467579+0.00012072396292463192j),(377.32315488621714+0.09110394979250594j),376.73545185193353
1450000000.0,(0.0007795413696505609+0.00012198588586777964j),(377.323154655083+0.09205625586907686j),376.73534608818085
1465000000.0,(0.0007796774489277272+0.00012324780881164366j),(377.3231544215453+0.09300856194512462j),376.7352435565686
1480000000.0,(0.0007798094116016627+0.00012450973175603827j),(377.3231541856041+0.09396086802050878j),376.7351441267263
1495000000.0,(0.0007799374220591773+0.00012577165470118007j),(377.3231539472595+0.09491317409534564j),376.7350476747908
1510000000.0,(0.0007800616365623722+0.00012703357764695056j),(377.32315370651133+0.0958654801695533j),376.7349540830208
1525000000.0,(0.0007801822037268545+0.00012829550059336532j),(377.3231534633598+0.0968177862431541j),376.734863239437
1540000000.0,(0.000780299264965356+0.0001295574235404126j),(377.32315321780476+0.0977700923161507j),376.7347750374871
1555000000.0,(0.0007804129549023364+0.00013081934648811363j),(377.32315296984615+0.09872239838853807j),376.73468937573364
1570000000.0,(0.0007805234017628528+0.00013208126943638784j),(377.32315271948426+0.09967470446025635j),376.73460615756136
1585000000.0,(0.000780630727732603+0.00013334319238532256j),(377.32315246671874+0.10062701053135406j),376.73452529090525
1600000000.0,(0.0007807350492970018+0.00013460511533485743j),(377.3231522115497+0.10157931660178261j),376.7344466879957
1615000000.0,(0.00078083647755701+0.00013586703828516854j),(377.32315195397734+0.10253162267164995j),376.7343702651203
1630000000.0,(0.0007809351185250141+0.00013712896123597995j),(377.32315169400147+0.10348392874079679j),376.7342959424005
1645000000.0,(0.0007810310734018688+0.000138390884187405j),(377.32315143162197+0.10443623480929139j),376.7342236435833
1660000000.0,(0.0007811244388372933+0.00013965280713954792j),(377.3231511668392+0.10538854087711105j),376.7341532958452
1675000000.0,(0.0007812153071721065+0.0001409147300921977j),(377.32315089965283+0.1063408469442978j),376.734084829609
1690000000.0,(0.0007813037666680178+0.0001421766530455734j),(377.3231506300631+0.10729315301074276j),376.73401817837146
1705000000.0,(0.000781389901720719+0.00014343857599947093j),(377.3231503580697+0.108245459076556j),376.73395327854183
1720000000.0,(0.0007814737930622689+0.00014470049895402905j),(377.3231500836729+0.10919776514166231j),376.73389006929034
1735000000.0,(0.0007815555179501778+0.0001459624219092663j),(377.32314980687266+0.11015007120609492j),376.7338284924052
1750000000.0,(0.0007816351503445033+0.0001472243448650492j),(377.323149527669+0.11110237726976298j),376.733768492159
1765000000.0,(0.000781712761076221+0.0001484862678214458j),(377.3231492460618+0.11205468333279871j),376.73371001518194
1780000000.0,(0.0007817884180047575+0.00014974819077856648j),(377.32314896205116+0.11300698939509242j),376.73365301034374
1795000000.0,(0.0007818621861649815+0.00015101011373622316j),(377.32314867563707+0.11395929545665204j),376.73359742864164
1810000000.0,(0.0007819341279094855+0.00015227203669454276j),(377.32314838681935+0.11491160151751074j),376.7335432230947
1825000000.0,(0.0007820043030378416+0.0001535339596534706j),(377.32314809559836+0.11586390757763884j),376.73349034864515
1840000000.0,(0.0007820727689227735+0.00015479588261297137j),(377.32314780197373+0.11681621363695385j),376.73343876206394
1855000000.0,(0.0007821395806266234+0.0001560578055731771j),(377.32314750594566+0.11776851969561619j),376.73338842186314
1870000000.0,(0.0007822047910116819+0.00015731972853403735j),(377.32314720751424+0.11872082575354992j),376.7333392882119
1885000000.0,(0.0007822684508459201+0.00015858165149550794j),(377.3231469066792+0.11967313181068304j),376.7332913228579
1900000000.0,(0.0007823306089011379+0.00015984357445759015j),(377.3231466034408+0.1206254378670536j),376.73324448905277
1915000000.0,(0.0007823913120460453+0.0001611054974201846j),(377.32314629779887+0.12157774392259296j),376.733198751482
1930000000.0,(0.000782450605335693+0.0001623674203835011j),(377.3231459897534+0.12253004997743369j),376.7331540761977
1945000000.0,(0.0007825085320941499+0.00016362934334747362j),(377.32314567930456+0.12348235603147914j),376.7331104305564
1960000000.0,(0.0007825651339941457+0.00016489126631211027j),(377.32314536645214+0.124434662084739j),376.7330677831586
1975000000.0,(0.000782620451131809+0.00016615318927731923j),(377.3231450511963+0.12538696813720715j),376.7330261037929
1990000000.0,(0.00078267452209783+0.00016741511224317094j),(377.323144733537+0.12633927418886326j),376.73298536338217
2005000000.0,(0.0007827273840449676+0.0001686770352096163j),(377.32314441347415+0.12729158023974058j),376.7329455339328
2020000000.0,(0.0007827790727513058+0.00016993895817678253j),(377.323144091008+0.12824388628981523j),376.7329065884869
2035000000.0,(0.0007828296226815366+0.00017120088114450918j),(377.32314376613823+0.1291961923389785j),376.73286850107627
2050000000.0,(0.0007828790670438432+0.00017246280411301257j),(377.323143438865+0.13014849838742487j),376.7328312466793
2065000000.0,(0.000782927437844625+0.00017372472708205685j),(377.3231431091883+0.13110080443500127j),376.7327948011801
2080000000.0,(0.0007829747659403453+0.00017498665005170351j),(377.3231427771081+0.13205311048167884j),376.732759141329
2095000000.0,(0.0007830210810874256+0.00017624857302213153j),(377.3231424426245+0.13300541652768944j),376.73272424470554
2110000000.0,(0.000783066411987348+0.0001775104959931574j),(377.32314210573736+0.13395772257269992j),376.73269008968373
2125000000.0,(0.0007831107863327863+0.0001787724189648183j),(377.3231417664468+0.13491002861691492j),376.732656655398
2140000000.0,(0.0007831542308492625+0.00018003434193711703j),(377.3231414247527+0.13586233466023076j),376.73262392171137
2155000000.0,(0.0007831967713352214+0.0001812962649100667j),(377.3231410806552+0.1368146407027021j),376.73259186918534
2170000000.0,(0.0007832384327005488+0.00018255818788366572j),(377.3231407341541+0.13776694674428214j),376.7325604790511
2185000000.0,(0.0007832792390035189+0.00018382011085810995j),(377.3231403852497+0.1387192527850924j),376.7325297331815
2200000000.0,(0.0007833192134838896+0.0001850820338329851j),(377.3231400339417+0.13967155882489268j),376.73249961406566
2215000000.0,(0.0007833583785987079+0.00018634395680863008j),(377.32313968023027+0.14062386486388587j),376.7324701047832
2230000000.0,(0.0007833967560509414+0.00018760587978494336j),(377.32313932411535+0.14157617090191169j),376.73244118898134
2245000000.0,(0.0007834343668216049+0.0001888678027618949j),(377.32313896559697+0.14252847693908008j),376.7324128508515
2260000000.0,(0.0007834712311977741+0.0001901297257395233j),(377.32313860467497+0.14348078297532654j),376.732385075108
2275000000.0,(0.0007835073687998001+0.0001913916487178999j),(377.32313824134974+0.14443308901066693j),376.7323578469676
2290000000.0,(0.0007835427986073396+0.00019265357169685786j),(377.3231378756209+0.14538539504505077j),376.73233115212935
2305000000.0,(0.0007835775389846152+0.00019391549467661127j),(377.3231375074886+0.14633770107859764j),376.7323049767565
2320000000.0,(0.0007836116077046012+0.00019517741765689636j),(377.32313713695294+0.14729000711110257j),376.73227930745776
2335000000.0,(0.0007836450219703186+0.00019643934063789088j),(377.32313676401355+0.14824231314270256j),376.7322541312708
2350000000.0,(0.0007836777984383621+0.00019770126361971804j),(377.3231363886709+0.1491946191734091j),376.7322294356457
2365000000.0,(0.0007837099532383491+0.0001989631866022096j),(377.32313601092466+0.1501469252031432j),376.73220520842926
2380000000.0,(0.0007837415019930947+0.00020022510958534422j),(377.323135630775+0.1510992312319055j),376.7321814378499
