f,s11,s21,ZL,ZL_a
1000000000.0,(-0.664866744773075+0.0013330161981011358j),0j,(75.83665167431636+0.3623672598610548j),376.7408947925618
1085000000.0,(-0.6648784600572003+0.001445392311755589j),0j,(75.83309538150726+0.39290835880969166j),376.73930177214294
1170000000.0,(-0.6648914479408159+0.0015575421794450772j),0j,(75.82925653755458+0.4233865572549975j),376.73804317953983
1255000000.0,(-0.6649056375525118+0.0016694491555879092j),0j,(75.82513684931007+0.4537972079953577j),376.73703155706124
1340000000.0,(-0.6649209774737039+0.001781096799006098j),0j,(75.82073813944154+0.4841357253396236j),376.73620627379245
1425000000.0,(-0.6649374288600441+0.0018924688908064243j),0j,(75.81606234375086+0.5143975888940264j),376.7355242242365
1510000000.0,(-0.6649549611967067+0.002003549450306983j),0j,(75.81111150834418+0.5445783472139708j),376.7349540830208
1595000000.0,(-0.6649735495967816+0.002114322749537421j),0j,(75.80588778666356+0.5746736213144975j),376.7344726426866
1680000000.0,(-0.6649931730351509+0.002224773326620058j),0j,(75.80039343638623+0.6046791080334059j),376.73406241406195
1765000000.0,(-0.665013813166778+0.0023348859982154765j),(-0+0j),(75.79463081620113+0.6345905832416333j),376.73371001518194
1850000000.0,(-0.6650354535199365+0.0024446458711403687j),(-0+0j),(75.78860238247006+0.6644039048959806j),376.73340506593524
1935000000.0,(-0.6650580789357758+0.0025540383532262787j),(-0+0j),(75.78231068578319+0.6941150159296936j),376.73313941482144
2020000000.0,(-0.665081675173223+0.0026630491634594316j),(-0+0j),(75.77575836741657+0.7237199469771279j),376.7329065884869
2105000000.0,(-0.6651062286270188+0.0027716643414281428j),(-0+0j),(75.76894815570186+0.753214818929213j),376.73270139359414
2190000000.0,(-0.6651317261245399+0.0028798702560904675j),(-0+0j),(75.76188286231606+0.7825958453165042j),376.73251962468436
2275000000.0,(-0.6651581547783629+0.0029876536138747564j),(-0+0j),(75.75456537850128+0.8118593345180225j),376.7323578469676
2360000000.0,(-0.6651855018788554+0.0030950014661175773j),(-0+0j),(75.74699867122331+0.8410016917939316j),376.732213232857
2445000000.0,(-0.6652137548158862+0.003201901215844973j),(-0+0j),(75.73918577927815+0.8700194211406479j),376.73208343756943
2530000000.0,(-0.6652429010219861+0.0033083406238994775j),(-0+0j),(75.73112980935551+0.8989091269678573j),376.73196650347546
2615000000.0,(-0.6652729279314793+0.0034143078144180613j),(-0+0j),(75.72283393206858+0.9276675155972265j),376.7318607858488
