f,s11,ZL,ZL_a
1000000000.0,(-0.16534640818772645+3.772834221518588e-05j),(269.8323331346824+0.02093294821095147j),376.7408947925618
1015000000.0,(-0.16524648887717433-0.0025431166536233145j),(269.88447475696364-1.411240430365604j),376.740584342124
1030000000.0,(-0.16373371546276042-0.00512471756171136j),(270.71535748065037-2.8511911869873368j),376.74028735676563
1045000000.0,(-0.16048675590138237-0.006872057971041506j),(272.51651043768186-3.8447042813754124j),376.74000306889803
1060000000.0,(-0.15587636314137024-0.006178694590101896j),(275.1102042855774-3.484439855062437j),376.7397307648601
1075000000.0,(-0.15239050265160842-0.0017554459936311394j),(277.0989551348604-0.9959974859725603j),376.7394697804346
1090000000.0,(-0.15327375321412523+0.0041913428739821755j),(276.59090700503623+2.374397719916623j),376.7392194967944
1105000000.0,(-0.1577282650755063+0.00758590465466356j),(274.0576134030366+4.264282950526879j),376.7389793368297
1120000000.0,(-0.16260965746836523+0.007564353281158785j),(271.3253691583484+4.216536397491677j),376.7387487618184
1135000000.0,(-0.1663272907151371+0.005326576227424066j),(269.27339876845576+2.950314028706715j),376.7385272684027
1150000000.0,(-0.16857062947864526+0.0018313662885927262j),(268.0449440485051+1.0104946103877888j),376.7383143858387
1165000000.0,(-0.1692031570149968-0.0025109942661925315j),(267.69458761481064-1.3839911380064414j),376.73810967349345
1180000000.0,(-0.16769270615784834-0.007448240909810668j),(268.5047666434433-4.115742862686252j),376.73791271856317
1195000000.0,(-0.16281715451386686-0.012081615692055717j),(271.1664753900513-6.731694231935666j),376.73772313398985
1210000000.0,(-0.153553468169177-0.013027558307980034j),(276.35658556751974-7.375663151690926j),376.7375405565585
1225000000.0,(-0.14463992671680587-0.004730937527027597j),(281.51492984252485-2.720637651681599j),376.73736464515616
1240000000.0,(-0.14642178295538524+0.00800602505879579j),(280.4708734168726+4.58960597526165j),376.7371950791771
1255000000.0,(-0.15553902548249104+0.01379309355151647j),(275.2242668108531+7.782137151622357j),376.73703155706124
1270000000.0,(-0.1638863799461203+0.01301784774392458j),(270.5595572126865+7.239887440244225j),376.7368737949523
1285000000.0,(-0.16967604558674781+0.009240417043249446j),(267.3958353410529+5.088634138519504j),376.736721525465
1300000000.0,(-0.17332511061049272+0.003962090176516692j),(265.42521899479726+2.1684551968742745j),376.7365744965514
1315000000.0,(-0.17503123737750156-0.002652425969038795j),(264.49675492383034-1.4474709304325561j),376.73643247045715
1330000000.0,(-0.17401906858629418-0.011011317214603805j),(264.99630897392683-6.018915246642874j),376.7362952227598
1345000000.0,(-0.16732565279142014-0.021070500442404792j),(268.52243665414676-11.64706829435737j),376.7361625414816
1360000000.0,(-0.14871383846093583-0.026805334209682376j),(278.8336832073188-15.29777459380017j),376.7360342262701
1375000000.0,(-0.12736441153984993-0.007746224820773363j),(291.5805999068798-4.592064362561386j),376.73591008764214
1390000000.0,(-0.13675909322406773+0.018600261329604073j),(285.91112397752175+10.842583834787012j),376.7357899462833
1405000000.0,(-0.1550626086531216+0.024111800290577873j),(275.30097902035726+13.61119079876786j),376.7356736324
1420000000.0,(-0.16730386481978834+0.020441733804665692j),(268.54640070483055+11.300127145432576j),376.7355609851196
1435000000.0,(-0.17506873649667687+0.0143205524055111j),(264.3836498215196+7.8133128799438705j),376.73545185193353
1450000000.0,(-0.18035994494925744+0.006935726377824714j),(261.5823818622476+3.7507178400307746j),376.73534608818085
1465000000.0,(-0.1839531668603009-0.0023281558291138003j),(259.66456909857465-1.2514328902123126j),376.7352435565686
1480000000.0,(-0.18520321540069723-0.015381495293366985j),(258.88868406175783-8.249087409307881j),376.7351441267263
1495000000.0,(-0.17913912805147453-0.03616680155743973j),(261.66451925140746-19.58112482411605j),376.7350476747908
1510000000.0,(-0.1409596603865238-0.06140449966918177j),(281.74043320686656-35.43802038304196j),376.7349540830208
1525000000.0,(-0.08415685892281324-0.0028436195047627714j),(318.2425625788942-1.8228463410639266j),376.734863239437
1540000000.0,(-0.12848810732572893+0.04195058466042016j),(290.0243600163023+24.78620320551497j),376.7347750374871
1555000000.0,(-0.1581081657937082+0.038423040661737407j),(273.153583700946+21.56161598679166j),376.73468937573364
1570000000.0,(-0.17293473347888952+0.029805100487597783j),(265.2303614330094+16.31278350143494j),376.73460615756136
1585000000.0,(-0.18224406996888182+0.0211054198358669j),(260.3834947980118+11.373830193393832j),376.73452529090525
1600000000.0,(-0.18948521216246145+0.01185260572697103j),(256.6438252504481+6.31128731703077j),376.7344466879957
1615000000.0,(-0.1961901576365923+0.00042103666524579493j),(253.15598819680218+0.22170967910422737j),376.7343702651203
1630000000.0,(-0.20319192772794464-0.016891549032069027j),(249.3670775021876-8.789804689394773j),376.7342959424005
1645000000.0,(-0.20913994930592422-0.052265626638771066j),(245.24775830214196-26.8854552883466j),376.7342236435833
1660000000.0,(-0.15917559745377735-0.1642662639010407j),(260.47329780744303-90.29838753728258j),376.7341532958452
1675000000.0,(-0.0016315483357918666+0.07451797994013486j),(371.36614210678806+55.656112067037185j),376.734084829609
1690000000.0,(-0.13275489943482424+0.07481330247751365j),(285.54136237234843+43.74027284567245j),376.73401817837146
1705000000.0,(-0.16476815488429294+0.05404825669435532j),(268.75847537347636+29.952519161646233j),376.73395327854183
1720000000.0,(-0.1797557974604971+0.04043867937596742j),(261.180798257687+21.865904457518536j),376.73389006929034
1735000000.0,(-0.19009829149954607+0.02969198709710421j),(255.9861317950246+15.785849816877743j),376.7338284924052
1750000000.0,(-0.19942591992940306+0.019357410948427106j),(251.2927935606672+10.13565577180454j),376.733768492159
1765000000.0,(-0.210002468046657+0.007238555883067477j),(245.94308294786592+3.725017825978903j),376.73371001518194
1780000000.0,(-0.22540222630307147-0.010653816556268517j),(238.09333280270624-5.345390909283166j),376.73365301034374
1795000000.0,(-0.25820805560477456-0.04791213740005924j),(221.24079987114243-22.770662894360346j),376.73359742864164
1810000000.0,(-0.4676379821276344-0.23206192054268257j),(124.13153127712037-79.19644526559107j),376.7335432230947
1825000000.0,(-0.07529805255858782+0.23509317391674941j),(292.00639427918924+146.20707405523035j),376.73349034864515
1840000000.0,(-0.1495194126765915+0.10136718968421393j),(273.6714518826541+57.35415617558809j),376.73343876206394
1855000000.0,(-0.1727396096607992+0.0684826046233902j),(263.5674619066318+37.390627562882266j),376.73338842186314
1870000000.0,(-0.18640009901968624+0.05161967670774921j),(257.1531582810732+27.580085420568565j),376.7333392882119
1885000000.0,(-0.19746588855553973+0.039687771349119286j),(251.7938672498178+20.831359285093356j),376.7332913228579
1900000000.0,(-0.20876123151063536+0.029149340690856722j),(246.242208644909+15.023085827089494j),376.73324448905277
1915000000.0,(-0.22301171194780497+0.017932192227631927j),(239.20893979362936+9.031142319887271j),376.733198751482
1930000000.0,(-0.24601667849850514+0.0038526343579011616j),(227.96108310344928+1.8696906986754516j),376.7331540761977
1945000000.0,(-0.2997044904219948-0.013786939594484689j),(202.9228441780643-6.148845134156327j),376.7331104305564
1960000000.0,(-0.4855828085649607+0.09621910016407657j),(128.33374329868897+32.712463960173785j),376.7330677831586
1975000000.0,(-0.17738891216832434+0.22591235863322634j),(240.48973564825314+118.43006883148227j),376.7330261037929
1990000000.0,(-0.16567345651568816+0.11689290301129349j),(263.2100404895313+64.17303030762764j),376.73298536338217
2005000000.0,(-0.1795678395705949+0.08114597527275251j),(259.02271384742204+43.735520149864485j),376.7329455339328
2020000000.0,(-0.19190638524244133+0.06285096844437495j),(253.66604036912705+33.24185927113815j),376.7329065884869
2035000000.0,(-0.2036599485041722+0.050481477471866085j),(248.14689701123143+26.20744658367703j),376.73286850107627
2050000000.0,(-0.2167194482295523+0.040374495026025775j),(241.84602239595947+20.52634967406847j),376.7328312466793
2065000000.0,(-0.23396460669159833+0.031033306719252366j),(233.48676137019675+15.346575217846015j),376.7327948011801
2080000000.0,(-0.26193724810295055+0.022931729007064725j),(220.1406552815674+10.846291613662446j),376.732759141329
2095000000.0,(-0.31951068006288+0.029165700724394828j),(194.00726718673127+12.615306592849796j),376.73272424470554
2110000000.0,(-0.3836821498126769+0.16452591494672633j),(160.2123025991742+63.845129613153794j),376.73269008968373
2125000000.0,(-0.20263912258125816+0.20400478024313037j),(232.25386736319138+103.30294405921917j),376.732656655398
2140000000.0,(-0.1752831939749389+0.12713030097322767j),(256.94538419495126+68.54490586181608j),376.73262392171137
2155000000.0,(-0.18406751166449248+0.09250619513986615j),(255.74334204551903+49.41267418251826j),376.73259186918534
2170000000.0,(-0.19583271383058637+0.07386668846918255j),(250.94818527284104+38.77189306524332j),376.7325604790511
2185000000.0,(-0.20843893708187775+0.061546707324367074j),(245.15712351713688+31.673309508775045j),376.7325297331815
2200000000.0,(-0.22314233463543084+0.05222994857095706j),(238.1539286938382+26.256540729639315j),376.73249961406566
2215000000.0,(-0.2428046318852993+0.04514769376426158j),(228.7302921963683+21.994806485850876j),376.7324701047832
2230000000.0,(-0.27365466937063765+0.0432579499553869j),(214.16300196289365+20.068960702951465j),376.73244118898134
2245000000.0,(-0.32660250557582743+0.06758093424292794j),(189.7632106569726+28.858910879691862j),376.7324128508515
2260000000.0,(-0.33624668805242863+0.18780285015147355j),(176.211877167435+77.7135759082076j),376.732385075108
2275000000.0,(-0.20520541226532377+0.1977115591313624j),(232.05934102615106+99.8710715579968j),376.7323578469676
2290000000.0,(-0.17886707252711528+0.1359437287729616j),(254.02286203419686+72.73696492416589j),376.73233115212935
