f,s11,ZL,ZL_a
1520000000.0,(-0.9770221581022812-0.27986110929608254j),(-18.746935865450165-318.991455668604j),2272.197505286742
1585000000.0,(-0.7275160561248933-0.294174269193262j),(145.0237508968095-222.09405144875802j),1159.2067003242641
1650000000.0,(-0.6011122649444659-0.22978011192950695j),(201.83122105317173-158.3190293969337j),901.3388384135059
1715000000.0,(-0.5236690764897141-0.17815922074676566j),(228.6698762616841-117.4002493467774j),775.3709404419548
1780000000.0,(-0.46877104390166946-0.1385925926994989j),(244.260320875231-88.96355801555248j),698.5541213008132
1845000000.0,(-0.4261015833614946-0.10730647037635994j),(254.92571503087612-67.8012319738866j),646.1517682997209
1910000000.0,(-0.3905093404210811-0.08177514525439339j),(263.4300634204981-51.24081875298795j),607.8718078901543
1975000000.0,(-0.35884521216043086-0.0606232144317009j),(271.3050591913982-37.91664142376835j),578.5813604397805
2040000000.0,(-0.3288714242320864-0.04346631689597684j),(279.605920476539-27.31250360819506j),555.4039943507635
2105000000.0,(-0.2989835839638362-0.030984399026665475j),(289.1093366967032-19.69524768826322j),536.5901841214344
2170000000.0,(-0.26858361633382327-0.025094492662027908j),(300.07239001890906-16.242225021304176j),521.0089855775751
2235000000.0,(-0.2392238041130908-0.028655288739108154j),(311.3649256245507-18.94419838391175j),507.89401819284245
2300000000.0,(-0.21590975842267401-0.043477934507331194j),(319.2620103001527-29.177004869549616j),496.7060283022615
2365000000.0,(-0.20575606709030472-0.06643844784433002j),(318.3818979577028-44.38036366940381j),487.05372689975803
2430000000.0,(-0.21195642019184044-0.0884529069749399j),(307.0421249894682-57.34231192724103j),478.64582428903674
2495000000.0,(-0.229730422020393-0.10086635136127904j),(290.06282806609795-62.44614880509682j),471.2607242114077
2560000000.0,(-0.250896395264534-0.10152318922162087j),(273.44086311558004-59.909936858597085j),464.7266888646046
2625000000.0,(-0.2698555522587018-0.09321614360685483j),(259.99039788185223-52.772127592992106j),458.90846057229373
2690000000.0,(-0.28454672623483496-0.07963699548269067j),(249.99127383924778-43.626049903110264j),453.6980007489457
2755000000.0,(-0.2948547508329852-0.0635636334325029j),(242.85117827929776-33.96294359646798j),449.00793192807936
2820000000.0,(-0.30135631854241834-0.04681204264286235j),(237.89332086732148-24.556467926645457j),444.76680018802153
2885000000.0,(-0.304865949585446-0.03059743014361111j),(234.5151542008496-15.837983252597306j),440.91559143430334
2950000000.0,(-0.3064059926062368-0.015714420137562947j),(232.12923035352793-8.053655812572881j),437.405128778413
3015000000.0,(-0.30720638603130845-0.0024422635245503737j),(230.1119945126133-1.241128074162712j),434.1941002716984
3080000000.0,(-0.3084684561405608+0.009643021642169224j),(227.88049450432126+4.857576749069386j),431.24754495212596
3145000000.0,(-0.3109077598649536+0.021622500779699728j),(225.08639107677385+10.781035943114892j),428.5356770274387
3210000000.0,(-0.3144070121185018+0.03481068829860224j),(221.76387488274707+17.156218425529595j),426.0329628734948
3275000000.0,(-0.31806168900777404+0.05020300366894005j),(218.2913753985547+24.45315620803081j),423.7173893692153
3340000000.0,(-0.3205292018276694+0.06812591462590414j),(215.22155690425575+32.85198003502524j),421.5698786651812
3405000000.0,(-0.32042787518777566+0.08814651150341088j),(213.11857816873408+42.236027021567594j),419.57381617864644
3470000000.0,(-0.3166936049121804+0.10912552784721818j),(212.4471639068751+52.22683710732214j),417.71466697359955
3535000000.0,(-0.3089409135471329+0.1293958487594163j),(213.46645787800327+62.22413407198547j),415.97966174441547
3600000000.0,(-0.29777813425881683+0.14718428416976187j),(216.09781732154846+71.50152844593963j),414.35753806271254
3665000000.0,(-0.2848117565632138+0.1612959530111118j),(219.8345468040839+79.42608978759611j),412.83832583717043
3730000000.0,(-0.2720926478817681+0.17173133858672499j),(223.8384664170343+85.75838699161707j),411.4131683982579
3795000000.0,(-0.261199520344229+0.17973243609099054j),(227.27431916611545+90.82797384127181j),410.07417247986353
3860000000.0,(-0.2525614963519971+0.18715573853500145j),(229.69564187801018+95.4051331400211j),408.8142817873952
3925000000.0,(-0.24540524995166704+0.19562598863456082j),(231.21988869018423+100.34893255344043j),407.6271699312557
3990000000.0,(-0.2381734409222378+0.20594424203545383j),(232.440065579771+106.27549867407845j),406.50714934822554
4055000000.0,(-0.22907982182502343+0.2178422437376697j),(234.21679935608233+113.37445368962851j),405.44909349141204
4120000000.0,(-0.21666996635036734+0.22996218294763246j),(237.46439145735533+121.32761060038786j),404.44837008639706
4185000000.0,(-0.20043341255023267+0.2400562447488196j),(242.9079253157473+129.26535168659066j),403.5007836599562
4250000000.0,(-0.18139424714385705+0.2456013583560097j),(250.73299486524806+135.822644932839j),402.6025258728945
4315000000.0,(-0.16224537879841197+0.24492959807504638j),(260.1872601948849+139.49555101579594j),401.75013244873884
