f,s11,ZL,ZL_a
1000000000.0,(-0.13210409895179706+0.061808319097576385j),(290.10958606556756+36.6418075196551j),381.0353518919984
1065000000.0,(-0.15576847232808722+0.033356690882135026j),(277.4016303467642+18.988256078048597j),380.5181794163341
1130000000.0,(-0.16298990631057422+0.015744044831739593j),(273.4325192615298+8.847089875432147j),380.08926216833174
1195000000.0,(-0.1666594349476295+0.002983702533510787j),(271.2351591553173+1.6648260388272536j),379.72953451972677
1260000000.0,(-0.16965807848366043-0.008358726164038327j),(269.3210916445099-4.636132226828586j),379.42483035476135
1325000000.0,(-0.17315240453905656-0.020539595740350858j),(267.0401779795499-11.313774417721548j),379.16444212831124
1390000000.0,(-0.17841573640303046-0.03614753927420816j),(263.590182487401-19.709419856398632j),378.94015237073154
1455000000.0,(-0.18879273734316585-0.060156091001392346j),(256.8205920884194-32.161347030928546j),378.7455681638506
1520000000.0,(-0.2198183030854101-0.10566331429419j),(237.50987902107565-53.36666880363264j),378.57565469710823
1585000000.0,(-0.4011792591345302-0.15947500614145155j),(154.8201768309416-60.69137903760348j),378.42640251286895
1650000000.0,(-0.34330076917560026+0.18543519164098318j),(174.40443440558752+76.29702236166794j),378.2945862995265
1715000000.0,(-0.21930984835287273+0.11415562248009456j),(236.7465904792483+57.57113535097268j),378.1775874913771
1780000000.0,(-0.2011314087056199+0.07318052368490101j),(249.12711770517063+38.213014757483386j),378.07326205946265
1845000000.0,(-0.19924717147568347+0.050408541522993504j),(251.2702545670166+26.449576295986002j),377.97984078086864
1910000000.0,(-0.20277058706165924+0.03481344523938201j),(249.95376304786572+18.17271595076849j),377.8958531654877
1975000000.0,(-0.20989446121537206+0.022311510750753296j),(246.51807127195738+11.51334068508623j),377.8200688291616
2040000000.0,(-0.22110960220153783+0.011214082129173374j),(240.89833264357236+5.681381491341367j),377.75145188038204
2105000000.0,(-0.23850670817414885+0.001336119525802049j),(232.22066875733196+0.6579797906585327j),377.68912511715547
2170000000.0,(-0.26620906103484976-0.004575320563058346j),(218.83695039991065-2.1552824895371616j),377.63234169215445
2235000000.0,(-0.3083291589691943+0.005183975784436375j),(199.60538114300317+2.2869760382035538j),377.58046251558085
2300000000.0,(-0.34740699576020845+0.05588535274551584j),(181.8891123571618+23.202713598799367j),377.5329381040181
2365000000.0,(-0.3270495733791239+0.12559893371979172j),(186.3749024787252+53.36706574408919j),377.4892939020231
2430000000.0,(-0.27519283307886006+0.14346400075334817j),(207.13920507000603+65.76839007723046j),377.4491183367063
2495000000.0,(-0.2456356092147964+0.12996720802336736j),(222.0371387434024+62.54536818905675j),377.41205303835756
2560000000.0,(-0.23610672104951824+0.11324966544017578j),(228.13060415291227+55.475487108990606j),377.3777847892455
2625000000.0,(-0.23750008881302137+0.09989600701765636j),(228.5578073303504+48.91100648655589j),377.34603885991015
2690000000.0,(-0.24558031738066774+0.09051172514195509j),(225.34975624908435+43.793538181622765j),377.3165734660605
2755000000.0,(-0.2589849140542794+0.08533982467231557j),(219.32409339622862+40.44120875898761j),377.289175135621
2820000000.0,(-0.2774838881470641+0.0857739648661181j),(210.72109119743135+39.47899728095527j),377.26365481894595
2885000000.0,(-0.30031225322113836+0.0952808455455428j),(199.89100297302565+42.28946932692843j),377.23984460893024
2950000000.0,(-0.32277141567918777+0.11933818661095141j),(188.52199725665653+51.040063482906376j),377.21759496406224
3015000000.0,(-0.3317202247195561+0.15940571170588957j),(181.28191954361597+66.84939651819397j),377.1967723481174
3080000000.0,(-0.3139067896216561+0.1995891953057825j),(184.0043023492911+85.24636357685308j),377.17725721651595
3145000000.0,(-0.28027145358530875+0.21715246192553658j),(195.55064863614183+97.13978804276753j),377.15894229232157
3210000000.0,(-0.25366357547189966+0.2131021993443984j),(207.62515253662204+99.40075746132558j),377.14173108520174
3275000000.0,(-0.24143006594509156+0.20149220458938838j),(214.84621047908004+96.08087934120377j),377.1255366149749
