f,s11,ZL,ZL_a
4000000000.0,(-0.18716833640187283+0.24548542218306216j),(231.91671072687365+125.857990381012j),376.7329587108829
4020000000.0,(-0.1858872834901764+0.2474302548935274j),(232.12220451893168+127.03499213801139j),376.7329324551972
4040000000.0,(-0.1845820282521608+0.24936414584957514j),(232.33742992438732+128.21425667831892j),376.7329065884869
4060000000.0,(-0.18325336905843823+0.2512868194047708j),(232.56210842871758+129.39561720457985j),376.73288110310614
4080000000.0,(-0.1819020728474737+0.25319806968100184j),(232.79596437102012+130.57894073993154j),376.73285599159607
4100000000.0,(-0.18052887116018568+0.25509775453585637j),(233.0387273411442+131.76412638067234j),376.7328312466793
4120000000.0,(-0.17913445685042706+0.2569857895210937j),(233.29013433311354+132.95110346241066j),376.73280686125497
4140000000.0,(-0.1777194814361385+0.2588621418870956j),(233.54993166119297+134.139829661985j),376.7327828283927
4160000000.0,(-0.1762845530532533+0.2607268246821051j),(233.8178766463012+135.330289055783j),376.732759141329
4180000000.0,(-0.17483023497218433+0.2625798909888831j),(234.0937390817885+136.52249015336605j),376.7327357934612
4200000000.0,(-0.17335704463551993+0.26442142833569016j),(234.37730248848789+137.716463923644j),376.73271277834385
4220000000.0,(-0.171865453174769+0.2662515533126662j),(234.6683651698147+138.91226182906104j),376.73269008968373
4240000000.0,(-0.1703558853639628+0.2680704064194184j),(234.96674107822474+140.1099538816104j),376.7326677213358
4260000000.0,(-0.16882871996834334+0.2698781471645383j),(235.27226050475923+141.30962673281633j),376.7326456672988
4280000000.0,(-0.1672842904472644+0.2716749494331355j),(235.5847706036216+142.5113818082473j),376.73262392171137
4300000000.0,(-0.16572288597161994+0.2734609971341741j),(235.90413576384876+143.71533349560966j),376.7326024788482
4320000000.0,(-0.1641447527177613+0.2752364801355783j),(236.2302378400316+144.92160739404252j),376.7325813331163
4340000000.0,(-0.16255009540154783+0.27700159049159767j),(236.56297625392313+146.13033863091601j),376.7325604790511
4360000000.0,(-0.16093907901821933+0.27875651896388204j),(236.90226797846395+147.34167025119177j),376.73253991131304
4380000000.0,(-0.15931183075578853+0.28050145183500663j),(237.24804741544543+148.55575168327255j),376.73251962468436
4400000000.0,(-0.15766844205187383+0.2822365680109781j),(237.60026617756023+149.77273728426573j),376.73249961406566
4420000000.0,(-0.15600897076600762+0.28396203640720274j),(237.95889278517572+150.99278496663462j),376.73247987447223
4440000000.0,(-0.1543334434416957+0.2856780136108216j),(238.32391228761273+152.21605490739992j),376.732460401032
4460000000.0,(-0.1526418576346107+0.28738464181097917j),(238.6953258181927+153.44270834033324j),376.73244118898134
4480000000.0,(-0.15093418428539143+0.2890820469875013j),(239.07315009176384+154.67290643093966j),376.73242223366304
4500000000.0,(-0.14921037011755806+0.29077033734765073j),(239.45741685283525+155.90680923348208j),376.7324035305232
4520000000.0,(-0.14747034004291618+0.29244960199996944j),(239.848172281918+157.14457472882262j),376.732385075108
4540000000.0,(-0.14571399955868702+0.2941199098538547j),(240.2454763670759+158.38635794148618j),376.73236686306217
4560000000.0,(-0.14394123712226362+0.29578130873316577j),(240.6494022471805+159.63231013399394j),376.7323488901251
4580000000.0,(-0.14215192649109526+0.2974338246920827j),(241.0600355328199+160.8825780762807j),376.73233115212935
4600000000.0,(-0.14034592901665893+0.29907746152136705j),(241.47747361032384+162.13730338777316j),376.73231364499804
4620000000.0,(-0.13852309588285258+0.30071220043332536j),(241.9018249338601+163.39662194958305j),376.7322963647419
4640000000.0,(-0.13668327028036367+0.30233799991383314j),(242.3332083101394+164.66066338411164j),376.73227930745776
4660000000.0,(-0.13482628950970854+0.3039547957300882j),(242.77175217981087+165.92955059932723j),376.7322624693259
4680000000.0,(-0.13295198700667765+0.3055625010829537j),(243.21759389924827+167.2033993948975j),376.7322458466082
4700000000.0,(-0.13106019428483642+0.30716100689310194j),(243.67087902605164+168.48231812737225j),376.7322294356457
4720000000.0,(-0.12915074279059832+0.30875018221045625j),(244.13176061124892+169.76640743159396j),376.732213232857
4740000000.0,(-0.1272234656671283+0.3103298747367976j),(244.60039850086957+171.05575999556007j),376.73219723473596
4760000000.0,(-0.12527819942402688+0.3118999114517318j),(245.0769586492759+172.3504603859928j),376.7321814378499
4780000000.0,(-0.12331478551036776+0.313460099332576j),(245.56161244637306+173.6505849219287j),376.7321658388379
4800000000.0,(-0.12133307178919774+0.31501022615906293j),(246.05453606059+174.9562015937083j),376.732150434409
4820000000.0,(-0.11933291391212865+0.3165500613941134j),(246.5559097992999+176.26737002481224j),376.7321352213402
4840000000.0,(-0.11731417659308366+0.3180793571322463j),(247.06591748816666+177.58414147406768j),376.732120196475
4860000000.0,(-0.11527673478067268+0.31959784910753963j),(247.58474587072396+178.90655887583154j),376.73210535672195
4880000000.0,(-0.11322047472904799+0.3211052577533353j),(248.1125840293457+180.23465691582453j),376.7320906990523
4900000000.0,(-0.11114529496742326+0.32260128930621457j),(248.64962282862223+181.56846214038345j),376.73207622049955
4920000000.0,(-0.10905110716874111+0.3240856369470153j),(249.1960543820464+182.90799309696087j),376.732061918157
4940000000.0,(-0.10693783691828955+0.3255579819719765j),(249.752071542787+184.25326050378789j),376.7320477891768
4960000000.0,(-0.1048054243832962+0.3270179949873173j),(250.31786741925364+185.60426744667777j),376.73203383076856
4980000000.0,(-0.10265382488481843+0.3284653371208376j),(250.89363491604877+186.96100960101813j),376.7320200401974
5000000000.0,(-0.10048300937345842+0.329899661244354j),(251.4795663008415+188.32347547706348j),376.73200641478337
5020000000.0,(-0.09829296481067006+0.33132061320102707j),(252.0758527976206+189.69164668669464j),376.7319929518997
5040000000.0,(-0.09608369445763887+0.33272783303184494j),(252.6826842067315+191.06549822986076j),376.73197964897173
5060000000.0,(-0.09385521807391774+0.33412095619579407j),(253.30024855203158+192.4449987989865j),376.73196650347546
5080000000.0,(-0.09160757202821916+0.3354996147784081j),(253.9287317554615+193.8301110996367j),376.7319535129364
5100000000.0,(-0.08934080932392854+0.33686343868366336j),(254.5683173392742+195.2207921858096j),376.73194067492864
5120000000.0,(-0.08705499954212674+0.3382120568043675j),(255.21918615611824+196.6169938082307j),376.7319279870736
