f,s11,s21,ZL,ZL_a
1000000000.0,(1.219857386770208-0.00010348922027153044j),(-0+0j),(-3803.8789760107525-1.613190500436077j),376.7408947925618
1085000000.0,(1.219856491327513-0.00011228276302827612j),(-0+0j),(-3803.8767152250903-1.7502710779054085j),376.73930177214294
1170000000.0,(1.2198558236119403-0.00012107574420021857j),(-0+0j),(-3803.874270317692-1.8873417240403159j),376.73804317953983
1255000000.0,(1.2198553269715444-0.00012986810849851388j),(-0+0j),(-3803.8716413381035-2.0244016620971252j),376.73703155706124
1340000000.0,(1.219854962130751-0.00013865980273365547j),(-0+0j),(-3803.8688283395923-2.1614501156226757j),376.73620627379245
1425000000.0,(1.2198547011655332-0.00014745077519469314j),(-0-0j),(-3803.8658313791516-2.2984863084768112j),376.7355242242365
1510000000.0,(1.2198545237819893-0.00015624097523947602j),(-0-0j),(-3803.8626505174952-2.4355094648497086j),376.7349540830208
1595000000.0,(1.2198544149442128-0.00016503035301606152j),(-0-0j),(-3803.859285819056-2.572518809287406j),376.7344726426866
1680000000.0,(1.219854363319976-0.00017381885926968729j),(-0-0j),(-3803.8557373519848-2.7095135667115584j),376.73406241406195
1765000000.0,(1.2198543602371847-0.00018260644520451603j),(-0-0j),(-3803.852005188141-2.846492962438261j),376.73371001518194
1850000000.0,(1.2198543989679105-0.00019139306238458723j),(-0-0j),(-3803.8480894031018-2.983456222199705j),376.73340506593524
1935000000.0,(1.2198544742275357-0.00020017866266264453j),(-0-0j),(-3803.8439900761487-3.1204025721673565j),376.73313941482144
2020000000.0,(1.2198545818182058-0.00020896319812424628j),(-0-0j),(-3803.8397072902717-3.257331238974971j),376.7329065884869
2105000000.0,(1.219854718370948-0.00021774662104795482j),(-0-0j),(-3803.835241132157-3.3942414497255884j),376.73270139359414
2190000000.0,(1.219854881156444-0.00022652888387431639j),(-0-0j),(-3803.830591692196-3.5311324320349136j),376.73251962468436
2275000000.0,(1.2198550679443403-0.00023530993918196983j),(-0-0j),(-3803.8257590644694-3.6680034140275635j),376.7323578469676
2360000000.0,(1.2198552768973676-0.0002440897396703439j),(-0-0j),(-3803.8207433467533-3.8048536243818125j),376.732213232857
2445000000.0,(1.2198555064907608-0.0002528682381437779j),(-0-0j),(-3803.815544640511-3.94168229233038j),376.73208343756943
2530000000.0,(1.2198557554503073-0.00026164538750172707j),(-0-0j),(-3803.810163050889-4.078488647694753j),376.73196650347546
2615000000.0,(1.219856022704252-0.0002704211407292363j),(-0-0j),(-3803.8045986867123-4.215271920896755j),376.7318607858488
2700000000.0,(1.2198563073456314-0.00027919545089058283j),(-0-0j),(-3803.7988516604855-4.352031342988248j),376.73176489471365
2785000000.0,(1.219856608602527-0.0002879682711230632j),(-0-0j),(-3803.7929220883802-4.488766145657527j),376.7316776489208
2870000000.0,(1.219856925814392-0.0002967395546339374j),(-0-0j),(-3803.7868100902374-4.625475561267307j),376.7315980396003
2955000000.0,(1.2198572584130776-0.00030550925469648177j),(-0-0j),(-3803.780515789558-4.762158822866396j),376.731525200864
3040000000.0,(1.2198576059075148-0.0003142773246472889j),(-0-0j),(-3803.7740393135064-4.898815164207636j),376.7314583861605
3125000000.0,(1.219857967871277-0.00032304371788446424j),(-0-0j),(-3803.767380792893-5.035443819770205j),376.73139694906956
3210000000.0,(1.2198583439324138-0.00033180838786665037j),(-0-0j),(-3803.760540362178-5.172044024786929j),376.73134032760726
3295000000.0,(1.219858733765095-0.0003405712881111585j),(-0-0j),(-3803.7535181594662-5.308615015255749j),376.7312880313294
3380000000.0,(1.2198591370827143-0.0003493323721942989j),-0j,(-3803.7463143264968-5.445156027964635j),376.73123963067457
3465000000.0,(1.2198595536321508-0.0003580915937493592j),-0j,(-3803.7389290086435-5.58166630050761j),376.73119474811455
3550000000.0,(1.2198599831889911-0.0003668489064687668j),-0j,(-3803.731362354903-5.71814507131551j),376.73115305077107
3635000000.0,(1.2198604255535188-0.0003756042641012658j),-0j,(-3803.723614517897-5.854591579658159j),376.73111424422484
3720000000.0,(1.2198608805473392-0.0003843576204539991j),-0j,(-3803.7156856538595-5.991005065684247j),376.73107806730445
3805000000.0,(1.2198613480105251-0.0003931089293929838j),-0j,(-3803.707575922631-6.12738477043097j),376.7310442876806
3890000000.0,(1.2198618277991964-0.0004018581448420321j),-0j,(-3803.6992854876585-6.263729935846934j),376.7310126981268
3975000000.0,(1.2198623197834562-0.0004106052207837577j),-0j,(-3803.6908145159855-6.400039804801461j),376.730983113333
4060000000.0,(1.2198628238456268-0.0004193501112609158j),0j,(-3803.682163178241-6.536313621125549j),376.7309553671827
4145000000.0,(1.219863339878737-0.00042809277037633286j),0j,(-3803.673331648644-6.672550629615124j),376.73092931041487
4230000000.0,(1.2198638677852176-0.00043683315229382466j),0j,(-3803.664320104988-6.808750076057642j),376.7309048086133
4315000000.0,(1.2198644074757807-0.00044557121123896953j),0j,(-3803.655128728634-6.944911207252995j),376.73088174046904
4400000000.0,(1.219864958868441-0.0004543069014991295j),0j,(-3803.6457577045085-7.081033271020087j),376.7308599962765
4485000000.0,(1.2198655218876722-0.00046304017742594754j),0j,(-3803.6362072210945-7.217115516242883j),376.730839476626
4570000000.0,(1.2198660964636698-0.0004717709934342952j),0j,(-3803.6264774704255-7.353157192857951j),376.7308200912662
4655000000.0,(1.2198666825317093-0.00048049930400491473j),0j,(-3803.616568648075-7.489157551906631j),376.73080175810975
4740000000.0,(1.219867280031578-0.0004892250636837165j),0j,(-3803.6064809531526-7.62511584552372j),376.7307844023628
4825000000.0,(1.219867888907086-0.0004979482270837552j),0j,(-3803.5962145882904-7.76103132698154j),376.73076795576105
4910000000.0,(1.2198685091056283-0.0005066687488862004j),0j,(-3803.5857697596466-7.896903250698822j),376.73075235589744
4995000000.0,(1.2198691405778026-0.0005153865838405085j),0j,(-3803.5751466768843-8.032730872253895j),376.7307375456292
5080000000.0,(1.2198697832770666-0.0005241016867661776j),0j,(-3803.564345553176-8.168513448417716j),376.7307234725541
5165000000.0,(1.219870437159444-0.0005328140125530695j),0j,(-3803.553366605185-8.304250237164219j),376.7307100885456
5250000000.0,(1.2198711021832531-0.0005415235161634108j),0j,(-3803.5422100530654-8.439940497691776j),376.7306973493418
5335000000.0,(1.219871778308872-0.00055023015263157j),0j,(-3803.530876120448-8.575583490444908j),376.73068521417827
5420000000.0,(1.2198724654985267-0.0005589338770654793j),0j,(-3803.519365034434-8.711178477120486j),376.73067364546165
5505000000.0,(1.2198731637161038-0.0005676346446482405j),0j,(-3803.507677025587-8.84672472070685j),376.7306626084787
5590000000.0,(1.2198738729269811-0.0005763324106383876j),0j,(-3803.4958123279284-8.982221485490257j),376.73065207113484
5675000000.0,(1.2198745930978776-0.0005850271303715388j),0j,(-3803.4837711789155-9.11766803707344j),376.73064200372096
5760000000.0,(1.2198753241967175-0.000593718759260762j),0j,(-3803.4715538194487-9.253063642402727j),376.7306323787039
5845000000.0,(1.2198760661925094-0.0006024072527979929j),0j,(-3803.459160493852-9.388407569770353j),376.73062317053757
