f,s11,ZL,ZL_a
1000000000.0,(-0.20314900130185126+0.006266762240979126j),(249.500200422108+3.2618603722350588j),376.7408947925618
1015000000.0,(-0.2038757534474859+0.0069113189978419485j),(249.11830038464964+3.5929873889340764j),376.740584342124
1030000000.0,(-0.2045996331247555+0.007570717333954739j),(248.737915748311+3.931031144327143j),376.74028735676563
1045000000.0,(-0.2053204547959261+0.008244844536139849j),(248.35911385425362+4.2759126987372795j),376.74000306889803
1060000000.0,(-0.20603802995309534+0.008933592862163591j),(247.981963004839+4.627556615703719j),376.7397307648601
1075000000.0,(-0.2067521671632603+0.009636858384268919j),(247.60653244186537+4.9858903674848465j),376.7394697804346
1090000000.0,(-0.2074626721982215+0.010354539915118876j),(247.2328922840109+5.350843786825312j),376.7392194967944
1105000000.0,(-0.20816934823712863+0.011086538017915653j),(246.86111343002122+5.722348565226556j),376.7389793368297
1120000000.0,(-0.20887199613025836+0.011832754101414569j),(246.4912674336789+6.10033779744148j),376.7387487618184
1135000000.0,(-0.20957041471344642+0.012593089599598645j),(246.12342635608044+6.4847455714534625j),376.7385272684027
1150000000.0,(-0.210264401163383+0.01336744523497643j),(245.75766260026475+6.875506602818415j),376.7383143858387
1165000000.0,(-0.2109537513847838+0.014155720363785084j),(245.39404873276195+7.272555911938091j),376.73810967349345
1180000000.0,(-0.2116382604212489+0.014957812400764825j),(245.032657296159+7.675828542558104j),376.73791271856317
1195000000.0,(-0.21231772288233278+0.015773616320700817j),(244.67356061636656+8.085259319584855j),376.73772313398985
1210000000.0,(-0.21299193338014172+0.016603024233517928j),(244.31683060782382+8.50078264415218j),376.7375405565585
1225000000.0,(-0.21366068696942656+0.017445925029379847j),(243.96253857951015+8.922332323740866j),376.73736464515616
1240000000.0,(-0.2143237795858568+0.018302204090007202j),(243.61075504423482+9.349841435081245j),376.7371950791771
1255000000.0,(-0.21498100847777588+0.019171743062238854j),(243.26154953334563+9.783242217514353j),376.73703155706124
1270000000.0,(-0.21563217262735893+0.020054419689741268j),(242.91499041866052+10.222465994472882j),376.7368737949523
1285000000.0,(-0.21627707315766015+0.020950107698688943j),(242.57114474312874+10.667443120742323j),376.736721525465
1300000000.0,(-0.2169155137225722+0.021858676733235965j),(242.2300780614506+11.118102953203877j),376.7365744965514
1315000000.0,(-0.2175473008772229+0.022779992336588693j),(241.89185429162572+11.574373842793571j),376.73643247045715
1330000000.0,(-0.2181722444267946+0.023713915973571077j),(241.5565355781699+12.03618314549093j),376.7362952227598
1345000000.0,(-0.21879015775215724+0.024660305090643857j),(241.2241821675392+12.50345725022074j),376.7361625414816
