f,s11,ZL,ZL_a
4000000000.0,(-0.1238601940087059-0.008991648283637979j),(293.6508616981154-5.363527919481191j),376.7329587108829
4050000000.0,(-0.12286346695599333+0.007873847869313604j),(294.2558434596671+4.705169768784994j),376.7328937986008
4100000000.0,(-0.1385508441377179+0.001762844761265969j),(285.0416165878166+1.024640774289055j),376.7328312466793
4150000000.0,(-0.12501231347526465-0.010880442169157173j),(292.94440800079684-6.476714725889279j),376.7327709420524
4200000000.0,(-0.12079119934166338+0.007840056529292922j),(295.4964763630459+4.7023164052367115j),376.73271277834385
4250000000.0,(-0.13929987153740883+0.0037538717109040637j),(284.60080994110683+2.179023322789185j),376.732656655398
4300000000.0,(-0.12643974037722852-0.01267343417880359j),(292.0735615155256-7.524655420024788j),376.7326024788482
4350000000.0,(-0.1186686004030395+0.007588660285343788j),(296.7738204664617+4.5688339199433115j),376.73255015972006
4400000000.0,(-0.139874962791521+0.005870699675287047j),(284.25667747788015+3.404293518140608j),376.73249961406566
4450000000.0,(-0.12809978356053986-0.014408521987622932j),(291.0648637945856-8.52936276585747j),376.73245076262646
4500000000.0,(-0.11647873526701952+0.0071633621158606565j),(298.0979965643269+4.329732730211299j),376.7324035305232
4550000000.0,(-0.1403269622944554+0.00811379773551271j),(283.9786454280771+4.7011739785707976j),376.7323578469676
4600000000.0,(-0.1299755390950344-0.016157807120861952j),(289.92866512562335-9.532754592729958j),376.73231364499804
4650000000.0,(-0.11414671545115405+0.00659943319515187j),(299.51448952510657+4.005617264509345j),376.7322708612333
4700000000.0,(-0.14068740536049196+0.010556426531835266j),(283.74664550282523+6.11236407656637j),376.7322294356457
4750000000.0,(-0.1321325907877302-0.017975988806482095j),(288.6266885471904-10.564560933942008j),376.7321893113502
4800000000.0,(-0.11160834632322421+0.005881217183877615j),(301.063417697785+3.5860318570296497j),376.732150434409
4850000000.0,(-0.14095942287531216+0.013269554765559237j),(283.556333907711+7.679268454577182j),376.73211275365026
4900000000.0,(-0.13466869907532003-0.019919140418029356j),(287.102241907689-11.653629828581728j),376.73207622049955
4950000000.0,(-0.108770385952317+0.004958439487107006j),(302.80361686232106+3.0388946895444753j),376.73204078882344
5000000000.0,(-0.14109965576651942+0.016357482937711713j),(283.4287545269075+9.463300009495374j),376.73200641478337
5050000000.0,(-0.13775200850431654-0.021996606494846378j),(285.25975791792325-12.798546168451571j),376.7319730567004
5100000000.0,(-0.10555621814309579+0.0037065724641274166j),(304.7851091271332+2.2849062663430697j),376.73194067492864
5150000000.0,(-0.14098284285174353+0.019901088433103523j),(283.43109855226936+11.514601188337254j),376.7319092317373
5200000000.0,(-0.1415504831413429-0.024123471788700973j),(283.0089251687133-13.941773846018311j),376.7318786912009
5250000000.0,(-0.10193907818221458+0.0020001250080796235j),(307.0275625704109+1.2410888457518277j),376.7318490190965
5300000000.0,(-0.14047629959894598+0.02395095006890042j),(283.6339264433578+13.868229467124698j),376.7318201828078
5350000000.0,(-0.14625628315913414-0.026165263039205657j),(280.2514680332996-14.996768233807591j),376.7317921512356
5400000000.0,(-0.09792288215567622-0.00033543313521694414j),(309.5308785996222-0.20966429776706116j),376.73176489471365
5450000000.0,(-0.13940019828019973+0.028510762699854104j),(284.1352742732981+16.53661514409064j),376.73173838493034
5500000000.0,(-0.1520541632606495-0.027890482608503714j),(276.9025595661396-15.824060952508923j),376.7317125948551
5550000000.0,(-0.09358071833313823-0.0035202124137680754j),(312.24860924125375-2.2178125059869886j),376.7316874986695
5600000000.0,(-0.1375372953321499+0.0334714467791359j),(285.05898313427355+19.472847601840925j),376.73166307170237
5650000000.0,(-0.15898220456304513-0.02898616615533734j),(272.96969191159735-16.249042188412336j),376.7316392903696
5700000000.0,(-0.08900119604545446-0.007690487882574941j),(315.118549551946-4.885821370143542j),376.7316161321169
5750000000.0,(-0.13471172643244886+0.03873919339836221j),(286.50823615738983+22.643086728551232j),376.73159357536605
5800000000.0,(-0.16707356072915033-0.02903568914251778j),(268.46945759044786-16.051992906331044j),376.7315715994652
5850000000.0,(-0.08440149142176884-0.013007457720159222j),(317.9878066257557-8.333198296545648j),376.73155018464115
5900000000.0,(-0.13081119969189142+0.044085716983150586j),(288.5604369165005+25.937020558606857j),376.73152931195506
5950000000.0,(-0.17619026275018398-0.027657258525781936j),(263.510692030083-15.054829675757516j),376.73150896326035
6000000000.0,(-0.07998891299844602-0.019600786528149138j),(320.69685377629344-12.657670743915792j),376.7314891211636
6050000000.0,(-0.12574680818787815+0.049261714934084336j),(291.28989484509543+29.232042049018993j),376.7314697689869
6100000000.0,(-0.18603236298535938-0.024456905777424116j),(258.2787534901008-13.094402160454873j),376.73145089073336
6150000000.0,(-0.07600602799121707-0.02751588744498354j),(323.0513272393444-17.895014666486993j),376.7314324710534
6200000000.0,(-0.11952105525796175+0.05402848499909817j),(294.72718961865036+32.404831467436864j),376.73141449521415
6250000000.0,(-0.19619528971171105-0.01910772354792082j),(252.99068551834162-10.059022608848585j),376.73139694906956
6300000000.0,(-0.07274270990278657-0.03675847503443088j),(324.81532976858205-24.039116716253773j),376.73137981903255
6350000000.0,(-0.11221599981759484+0.058131680400768715j),(298.8658510375715+35.31112781858357j),376.7313630920492
6400000000.0,(-0.20616596935005793-0.01142787875190098j),(247.88838434252082-5.9179903383282895j),376.73134675557327
6450000000.0,(-0.07048033667338575-0.047306599297607506j),(325.75151368084676-31.044077409636884j),376.7313307975429
6500000000.0,(-0.10394548450284082+0.06133284730806205j),(303.6864253098604+37.802552726207985j),376.73131520635854
6550000000.0,(-0.21532197438890655-0.0013948350682482518j),(243.23741888254918-0.7115432194077465j),376.73129997086147
6600000000.0,(-0.06949232059081993-0.05903076760156058j),(325.6338483323213-38.76713480188055j),376.7312850803143
6650000000.0,(-0.09489220276779231+0.06345998345530499j),(309.1260751811542+39.75231141581476j),376.73127052438144
6700000000.0,(-0.22308452063904236+0.010826040939162002j),(239.25518816248075+5.452357832278648j),376.7312562931119
6750000000.0,(-0.07001908227574712-0.07177966401412218j),(324.2721779449367-47.02513330550718j),376.7312423769216
6800000000.0,(-0.08524279148760958+0.06438812056788985j),(315.1134786829196+41.04757090941093j),376.73122876657754
6850000000.0,(-0.2289047162874257+0.024927251100651127j),(236.13367119724415+12.43142508758518j),376.73121545318264
6900000000.0,(-0.07231051213746421-0.08531139586924488j),(321.5024838208382-55.550411697534756j),376.73120242816077
6950000000.0,(-0.07523365106307633+0.0640438667467084j),(321.5344891347621+41.590619902758995j),376.7311896832434
7000000000.0,(-0.23239155122602115+0.040443506571238234j),(233.99337431557848+20.042203622937475j),376.73117721045605
7050000000.0,(-0.07656431294307152-0.09937885253834881j),(317.23208446787646-64.06052161210515j),376.73116500210614
7100000000.0,(-0.06508913725903077+0.062397294879167814j),(328.26636185665694+41.301649118275556j),376.73115305077107
7150000000.0,(-0.23331441809872627+0.05681678616121984j),(232.89977602667844+28.08470326911059j),376.73114134928676
7200000000.0,(-0.0829199439054205-0.11372756944082867j),(311.4480186636628-72.27214010178604j),376.73112989073684
7250000000.0,(-0.05498884630515055+0.05943713878238196j),(335.19891314546237+40.10950850567502j),376.73111866844306
7300000000.0,(-0.23152678231642435+0.07348228154321347j),(232.909906167695+36.37583304139541j),376.73110767595466
7350000000.0,(-0.09147272017346726-0.1280126351446575j),(304.2190359225377-79.8647728838929j),376.7310969070398
7400000000.0,(-0.045120804442323845+0.05523019772949941j),(342.1942812747854+37.992153670857945j),376.73108635567627
7450000000.0,(-0.22709465867752235+0.08992245972653092j),(234.01041136184247+44.75561556208536j),376.7310760160435
7500000000.0,(-0.10230587250529818-0.14191786438446627j),(295.6564123732156-86.56743770767791j),376.73106588251414
7550000000.0,(-0.03565396958135047+0.04982868782593459j),(349.11172895252633+34.922662010572594j),376.7310559496466
7600000000.0,(-0.22017668163836523+0.1056518398646555j),(236.17621569747843+53.07000278042964j),376.7310462121776
7650000000.0,(-0.11543432138496157-0.15511707652294426j),(285.9412451316099-92.15404714950083j),376.7310366650155
7700000000.0,(-0.026728206437170592+0.043305800811279827j),(355.8133843675091+30.89758533790765j),376.73102730323336
7750000000.0,(-0.2110015870079188+0.12026502916651811j),(239.37350174312894+61.18557468969391j),376.7310181220624
7800000000.0,(-0.13084335778528947-0.16728690626553167j),(275.28382851259397-96.45327469568804j),376.73100911688664
7850000000.0,(-0.0184452305443958+0.035738512773713156j),(362.17503934217655+25.929134079808j),376.7310002832363
7900000000.0,(-0.19982569000515724+0.1334571293424656j),(243.57071093195879+68.99642609589664j),376.7309916167828
7950000000.0,(-0.14849430823908089-0.17806884272063878j),(263.9118155808062-99.32876544741998j),376.730983113333
8000000000.0,(-0.010915038114138034+0.02721420352728053j),(368.0559539819921+20.049937234383524j),376.73097476882486
8050000000.0,(-0.186949317603231+0.14497623601008594j),(248.72668631359468+76.3945814326917j),376.7309665793215
8100000000.0,(-0.1683036250174716-0.18710806249509535j),(252.06065854362748-100.70325784027632j),376.7309585410076
8150000000.0,(-0.004214434303436402+0.017820364985747503j),(373.33266221408303+13.310311908672311j),376.7309506501843
8200000000.0,(-0.17265119147632146+0.15466437197037775j),(254.811474181645+83.29596389879619j),376.73094290326526
8250000000.0,(-0.19022244823759085-0.1940069882611027j),(239.92783493924728-100.51575734891858j),376.7309352967725
8300000000.0,(0.0015560577236485252+0.007620640620709213j),(377.86122617234975+5.759437638259297j),376.73092782733255
8350000000.0,(-0.1572300145174389+0.16236529493704302j),(261.7902752787026+89.5877923785462j),376.73092049167235
8400000000.0,(-0.21408491723484832-0.19833781989423646j),(227.7377406681519-98.74844281308327j),376.73091328661627
8450000000.0,(0.006307349171916379-0.003295258037272792j),(381.50507958872316-2.514442694396066j),376.7309062090822
8500000000.0,(-0.14099273977242843+0.16798084703370966j),(269.61605049487525+95.15740487400024j),376.73089925607854
8550000000.0,(-0.23971410754061886-0.1996527632399233j),(215.6749074872723-95.40542790661698j),376.7308924247007
8600000000.0,(0.009956666724574039-0.01488089685426607j),(384.1364060315884-11.436254664494767j),376.7308857121284
8650000000.0,(-0.12420495058735959+0.17140483523228126j),(278.2603862568273+99.86494887884241j),376.7308791156227
8700000000.0,(-0.26674379785973357-0.1974156129187925j),(203.96733563535736-90.49887822599959j),376.7308726325232
8750000000.0,(0.012427467226901077-0.027017889635334327j),(385.6417172223926-20.85689672200618j),376.73086626024497
8800000000.0,(-0.10716310025233408+0.17262728645455117j),(287.6512391257636+103.58950629250309j),376.7308599962765
8850000000.0,(-0.2947597059794764-0.1910563297419493j),(192.7997011565431-84.04062700643816j),376.7308538381771
8900000000.0,(0.013611065255715196-0.039621781501686895j),(385.89726941778434-30.63364111503195j),376.7308477835743
8950000000.0,(-0.09016183383125771+0.1716291620261603j),(297.69960050550213+106.17866822231784j),376.73084183016203
9000000000.0,(-0.3231055776702054-0.18002487775763237j),(182.3828226689203-76.07432826891828j),376.73083597569763
9050000000.0,(0.013401686165096316-0.052558920460094645j),(384.8044150301517-40.56916560801472j),376.73083021800045
9100000000.0,(-0.07353312646846326+0.1684475281068681j),(308.2566409336264+107.48102923038108j),376.7308245549497
9150000000.0,(-0.35091425924821085-0.16387703352743838j),(172.92266374642784-66.67749755494775j),376.7308189844822
9200000000.0,(0.011710823865802694-0.06570529371588324j),(382.30401256184433-50.46357624026775j),376.7308135045908
9250000000.0,(-0.057563469439447554+0.16315028787089317j),(319.1580701865374+107.35475846282115j),376.73080811332227
9300000000.0,(-0.37707981541568086-0.1422982020015018j),(164.63310726804136-55.94091945148456j),376.73080280877593
9350000000.0,(0.008444340869106493-0.07889919402155175j),(378.36652237039544-60.08393921613785j),376.7307975891018
9400000000.0,(-0.04255836318630989+0.1558485202263839j),(330.1769379070413+105.67324343974202j),376.73079245249886
9450000000.0,(-0.40023907885447396-0.11533583280699056j),(157.73800500877016-44.02348442661715j),376.73078739721365
9500000000.0,(0.0035747935314380075-0.09194522844258601j),(373.04976409982726-69.18606954559122j),376.7307824215386
