f,s11,s21,ZL,ZL_a
1000000000.0,(-0.6317779956247344+0.003089025995533583j),0j,(85.01253700313346+0.8741191253762917j),376.7408947925618
1085000000.0,(-0.6318314259512287+0.0033452669227920433j),0j,(84.99677283549117+0.9465624897770183j),376.73930177214294
1170000000.0,(-0.6318893320799067+0.003599990059380663j),0j,(84.97979805880613+1.0185614955753348j),376.73804317953983
1255000000.0,(-0.6319515872164502+0.0038530891238667824j),0j,(84.96162961724869+1.0900850881911617j),376.73703155706124
1340000000.0,(-0.6320180824085274+0.0041044604732152j),0j,(84.94228550748551+1.1611030179600106j),376.73620627379245
1425000000.0,(-0.6320887192728495+0.004354003256452619j),0j,(84.92178473334388+1.231585883065211j),376.7355242242365
1510000000.0,(-0.6321634055659993+0.004601619555578658j),0j,(84.90014725851225+1.3015051695378925j),376.7349540830208
1595000000.0,(-0.6322420524231699+0.004847214514635623j),0j,(84.87739395748913+1.3708332882311731j),376.7344726426866
1680000000.0,(-0.6323245726094789+0.005090696457405332j),0j,(84.85354656499776+1.4395436086925986j),376.73406241406195
1765000000.0,(-0.6324108794049402+0.005331976993974837j),(-0+0j),(84.82862762408521+1.507610489875531j),376.73371001518194
1850000000.0,(-0.6325008858967301+0.005570971116308099j),(-0+0j),(84.80266043312653+1.5750093076472722j),376.73340506593524
1935000000.0,(-0.6325945045395146+0.005807597282902805j),(-0+0j),(84.77566899195301+1.6417164790683343j),376.73313941482144
2020000000.0,(-0.6326916468958959+0.006041777492615736j),(-0+0j),(84.74767794732348+1.7077094834340056j),376.7329065884869
2105000000.0,(-0.6327922235000815+0.006273437347739732j),(-0+0j),(84.71871253795247+1.7729668800846874j),376.73270139359414
2190000000.0,(-0.6328961438071161+0.0065025061064484845j),(-0+0j),(84.68879853930702+1.837468323007623j),376.73251962468436
2275000000.0,(-0.633003316202222+0.006728916724746844j),(-0+0j),(84.65796220837612+1.9011945722663919j),376.7323578469676
2360000000.0,(-0.6331136480527016+0.006952605888105536j),(-0+0j),(84.62623022861243+1.9641275023095646j),376.732213232857
2445000000.0,(-0.6332270457900689+0.007173514032989621j),(-0+0j),(84.59362965523653+2.02625010722211j),376.73208343756943
2530000000.0,(-0.6333434150135746+0.007391585358523141j),(-0+0j),(84.56018786108743+2.087546502995733j),376.73196650347546
2615000000.0,(-0.6334626606086987+0.007606767828570894j),(-0+0j),(84.52593248319191+2.148001926906038j),376.7318607858488
2700000000.0,(-0.6335846868758327+0.0078190131645423j),(-0+0j),(84.49089137021747+2.207602734093692j),376.73176489471365
2785000000.0,(-0.6337093976655632+0.008028276829256427j),(-0+0j),(84.45509253096198+2.266336391457j),376.7316776489208
2870000000.0,(-0.6338366965178028+0.008234518002231411j),(-0+0j),(84.4185640840223+2.3241914689712804j),376.7315980396003
2955000000.0,(-0.6339664868026377+0.008437699546783346j),(-0+0j),(84.38133420877395+2.381157628557061j),376.731525200864
3040000000.0,(-0.6340986718612088+0.008637787969342593j),(-0+0j),(84.34343109778132+2.4372256106261747j),376.7314583861605
3125000000.0,(-0.6342331551452958+0.008834753371408892j),(-0+0j),(84.30488291074732+2.4923872184389704j),376.73139694906956
3210000000.0,(-0.6343698403545338+0.009028569394584985j),(-0+0j),(84.26571773009832+2.546635300410738j),376.73134032760726
3295000000.0,(-0.6345086315704002+0.0092192131591362j),(-0+0j),(84.22596351829007+2.599963730508125j),376.7312880313294
3380000000.0,(-0.6346494333862691+0.009406665196531544j),(-0+0j),(84.1856480769081+2.65236738687813j),376.73123963067457
3465000000.0,(-0.6347921510329728+0.009590909376429925j),(-0+0j),(84.14479900762419+2.7038421288543493j),376.73119474811455
3550000000.0,(-0.6349366904994107+0.009771932828573082j),(-0-0j),(84.10344367506032+2.754384772484261j),376.73115305077107
3635000000.0,(-0.6350829586478393+0.009949725860050615j),(-0-0j),(84.06160917159991+2.803993064721947j),376.73111424422484
3720000000.0,(-0.6352308633235587+0.010124281868396968j),(-0-0j),(84.01932228417611+2.8526656564285586j),376.73107806730445
3805000000.0,(-0.635380313458775+0.010295597250975844j),(-0-0j),(83.97660946305709+2.9004020743210437j),376.7310442876806
3890000000.0,(-0.6355312191704705+0.010463671311101581j),(-0-0j),(83.93349679263794+2.947202692007304j),376.7310126981268
3975000000.0,(-0.6356834918521801+0.010628506161334952j),(-0-0j),(83.89000996424046+2.993068700241938j),376.730983113333
4060000000.0,(-0.635837044259595+0.010790106624383384j),(-0-0j),(83.8461742509133+3.0380020765338833j),376.7309553671827
4145000000.0,(-0.6359917905899759+0.010948480132019552j),(-0-0j),(83.80201448421695+3.0820055542318348j),376.73092931041487
4230000000.0,(-0.6361476465553798+0.011103636622420344j),(-0-0j),(83.75755503297042+3.125082591209711j),376.7309048086133
4315000000.0,(-0.6363045294497403+0.011255588436313423j),(-0-0j),(83.71281978392997+3.1672373382686794j),376.73088174046904
4400000000.0,(-0.6364623582098691+0.011404350212298634j),(-0-0j),(83.6678321243643+3.2084746073668557j),376.7308599962765
4485000000.0,(-0.6366210534704746+0.011549938781699506j),(-0-0j),(83.6226149264831+3.248799839782657j),376.730839476626
4570000000.0,(-0.6367805376133068+0.011692373063278368j),(-0-0j),(83.57719053367427+3.2882190743117374j),376.7308200912662
4655000000.0,(-0.636940734810568+0.011831673958130654j),(-0-0j),(83.53158074849627+3.3267389155910867j),376.73080175810975
4740000000.0,(-0.6371015710627395+0.011967864245057216j),(-0-0j),(83.48580682237173+3.364366502638677j),376.7307844023628
4825000000.0,(-0.6372629742309854+0.012100968476690975j),(-0-0j),(83.43988944692326+3.4011094776900856j),376.73076795576105
4910000000.0,(-0.6374248740643227+0.012231012876639006j),(-0-0j),(83.39384874688949+3.436975955408303j),376.73075235589744
4995000000.0,(-0.6375872022217335+0.012358025237876538j),(-0-0j),(83.34770427455766+3.471974492535725j),376.7307375456292
5080000000.0,(-0.6377498922894304+0.012482034822618783j),(-0-0j),(83.30147500564689+3.5061140580529857j),376.7307234725541
5165000000.0,(-0.6379128797934696+0.012603072263865615j),(-0-0j),(83.25517933657454+3.5394040039017534j),376.7307100885456
5250000000.0,(-0.6380761022079308+0.0127211694688077j),(-0-0j),(83.20883508303729+3.5718540363235234j),376.7306973493418
5335000000.0,(-0.6382394989588707+0.01283635952425763j),(-0-0j),(83.16245947983808+3.603474187861734j),376.73068521417827
5420000000.0,(-0.6384030114242739+0.012948676604250487j),(-0-0j),(83.11606918188949+3.6342747900671557j),376.73067364546165
5505000000.0,(-0.6385665829302148+0.013058155879950201j),(-0-0j),(83.06968026632458+3.664266446943302j),376.7306626084787
5590000000.0,(-0.6387301587434508+0.013164833431968481j),(-0-0j),(83.02330823564613+3.693460009162001j),376.73065207113484
5675000000.0,(-0.6388936860606661+0.01326874616520168j),(-0-0j),(82.97696802184649+3.7218665490758434j),376.73064200372096
5760000000.0,(-0.639057113994577+0.013369931726260928j),(-0-0j),(82.93067399143102+3.749497336547934j),376.7306323787039
5845000000.0,(-0.6392203935571165+0.013468428423570105j),(-0-0j),(82.88443995127905+3.7763638156171906j),376.73062317053757
5930000000.0,(-0.6393834776399061+0.013564275150184055j),(-0-0j),(82.83827915527802+3.8024775820114582j),376.73061435549374
6015000000.0,(-0.6395463209922176+0.013657511309367208j),(-0-0j),(82.79220431166803+3.8278503615177977j),376.73060591150886
6100000000.0,(-0.6397088801966279+0.013748176742966075j),(-0-0j),(82.7462275910357+3.8524939892156413j),376.73059781804545
6185000000.0,(-0.6398711136425603+0.013836311662590315j),(-0-0j),(82.70036063489796+3.876420389574941j),376.73059005596804
6270000000.0,(-0.6400329814979027+0.013921956583612298j),(-0-0j),(82.65461456481907+3.899641557418526j),376.7305826074288
6355000000.0,(-0.6401944456788825+0.014005152261982963j),(-0-0j),(82.60899999200537+3.92216953974499j),376.730575455766
6440000000.0,(-0.6403554698183785+0.014085939633850332j),(-0-0j),(82.5635270273251+3.9440164184054396j),376.7305685854096
6525000000.0,(-0.640516019232837+0.014164359757965898j),(-0-0j),(82.51820529170257+3.965194293626077j),376.7305619817977
6610000000.0,(-0.6406760608879531+0.014240453760846022j),(-0-0j),(82.47304392683886+3.985715268364779j),376.7305556312981
6695000000.0,(-0.6408355633632767+0.014314262784658164j),(-0-0j),(82.4280516062119+4.005591433489546j),376.73054952113864
6780000000.0,(-0.640994496815888+0.014385827937790622j),(-0-0j),(82.38323654631351+4.024834853763981j),376.7305436393427
6865000000.0,(-0.6411528329432834+0.014455190248058596j),(-0-0j),(82.33860651808124+4.043457554623468j),376.7305379746706
6950000000.0,(-0.6413105449456088+0.014522390618496559j),(-0-0j),(82.29416885848585+4.061471509724652j),376.73053251656563
7035000000.0,(-0.6414676074873628+0.014587469785681756j),(-0-0j),(82.24993048223831+4.078888629249678j),376.73052725510496
7120000000.0,(-0.6416239966586904+0.014650468280528088j),(-0-0j),(82.20589789358105+4.095720748945051j),376.7305221809546
7205000000.0,(-0.6417796899363801+0.014711426391489799j),(-0-0j),(82.16207719813133+4.111979619875061j),376.73051728532783
7290000000.0,(-0.6419346661446687+0.014770384130106808j),(-0-0j),(82.11847411474673+4.127676898867753j),376.730512559947
7375000000.0,(-0.6420889054159532+0.014827381198827408j),(-0-0j),(82.07509398738438+4.1428241396326015j),376.73050799700906
7460000000.0,(-0.6422423891514988+0.014882456961035274j),(-0-0j),(82.03194179692807+4.157432784526542j),376.73050358915276
7545000000.0,(-0.6423950999822324+0.014935650413211241j),(-0-0j),(81.98902217295883+4.1715141569463485j),376.73049932942905
7630000000.0,(-0.6425470217296962+0.014987000159158336j),(-0-0j),(81.94633940544728+4.18507945432462j),376.73049521127405
7715000000.0,(-0.6426981393672369+0.015036544386215104j),(-0-0j),(81.90389745634702+4.1981397417059885j),376.7304912284832
7800000000.0,(-0.6428484389814977+0.015084320843385244j),(-0-0j),(81.8616999710705+4.210705945881065j),376.7304873751884
7885000000.0,(-0.6429979077342731+0.015130366821309246j),(-0-0j),(81.81975028983058+4.222788850054892j),376.7304836458358
7970000000.0,(-0.643146533824782+0.015174719134005678j),(-0-0j),(81.77805145883268+4.234399089027783j),376.7304800351666
8055000000.0,(-0.6432943064524134+0.015217414102307201j),(-0-0j),(81.73660624130315+4.245547144865289j),376.7304765381975
8140000000.0,(-0.6434412157799841+0.015258487538921459j),(-0-0j),(81.69541712834233+4.256243343035792j),376.73047315020426
8225000000.0,(-0.6435872528975582+0.015297974735042798j),(-0-0j),(81.6544863495908+4.266497848993538j),376.7304698667055
8310000000.0,(-0.643732409786858+0.015335910448446092j),(-0-0j),(81.61381588369946+4.276320665185709j),376.7304666834479
8395000000.0,(-0.6438766792862999+0.015372328892992039j),(-0-0j),(81.57340746859508+4.28572162846248j),376.73046359639204
8480000000.0,(-0.6440200550566888+0.015407263729477453j),(-0-0j),(81.5332626115341+4.294710407869764j),376.73046060170043
8565000000.0,(-0.6441625315475895+0.015440748057762532j),(-0-0j),(81.49338259893847+4.303296502804125j),376.7304576957247
8650000000.0,(-0.6443041039643987+0.015472814410109828j),(-0-0j),(81.45376850600843+4.311489241510814j),376.7304548749948
8735000000.0,(-0.6444447682361387+0.015503494745672993j),(-0-0j),(81.41442120610834+4.319297779905543j),376.730452136209
8820000000.0,(-0.64458452098398+0.015532820446072664j),(-0-0j),(81.37534137992202+4.326731100702084j),376.7304494762237
8905000000.0,(-0.6447233594905133+0.015560822311999309j),(-0-0j),(81.33652952437507+4.333798012827333j),376.7304468920446
8990000000.0,(-0.6448612816697737+0.01558753056078508j),(-0-0j),(81.29798596132315+4.340507151106917j),376.7304443808183
9075000000.0,(-0.6449982860380268+0.015612974824888862j),-0j,(81.25971084600432+4.3468669762047725j),376.7304419398245
9160000000.0,(-0.6451343716853185+0.015637184151239932j),-0j,(81.22170417525625+4.352885774800557j),376.73043956646825
9245000000.0,(-0.6452695382477963+0.015660187001386848j),-0j,(81.18396579549729+4.358571659989288j),376.73043725827387
9330000000.0,(-0.6454037858807923+0.015682011252402j),-0j,(81.14649541047352+4.363932571888756j),376.7304350128773
9415000000.0,(-0.6455371152326764+0.015702684198493366j),-0j,(81.10929258877245+4.368976278440406j),376.73043282802115
9500000000.0,(-0.6456695274194724+0.015722232553275973j),-0j,(81.07235677110495+4.37371037638979j),376.73043070154847
9585000000.0,(-0.6458010240002268+0.015740682452657737j),-0j,(81.03568727735855+4.378142292433777j),376.73042863139733
