f,s11,ZL,ZL_a
1000000000.0,(-0.1837049342718151-0.013224791641327355j),(259.7249409811635-7.110832962869064j),376.7408947925618
1065000000.0,(-0.1846775321596565-0.020672711847146082j),(259.08731980155716-11.095228212228662j),376.73964254377336
1130000000.0,(-0.18615447346670236-0.03528652850647016j),(257.92660706193834-18.880451430447813j),376.738600120176
1195000000.0,(-0.19220117045663968-0.07487132374271228j),(252.78308746525917-39.53448258660745j),376.73772313398985
1260000000.0,(-0.4694278832282358-0.2759933608526889j),(118.55705295688067-93.02795044863055j),376.7369783432227
1325000000.0,(-0.23867170986131372+0.1189798628897434j),(225.99346595781554+57.89484748506537j),376.73634045439115
1390000000.0,(-0.21105368629549867+0.06394682589612395j),(243.69636877484186+32.76045288748284j),376.7357899462833
1455000000.0,(-0.2073686931696787+0.04568919019907075j),(246.43240034540054+23.581883708071548j),376.7353115584264
1520000000.0,(-0.20780538690758826+0.036464980793918855j),(246.53076708304016+18.817079786935924j),376.73489322196303
1585000000.0,(-0.20990341437949372+0.03069095873249213j),(245.6164231302105+15.786836410339117j),376.73452529090525
1650000000.0,(-0.2131105671273789+0.02653130225851278j),(244.07333024193076+13.57735450916842j),376.7341999810517
1715000000.0,(-0.21735105120301984+0.023214531320170557j),(241.98155268158766+11.79872436522539j),376.73391095484453
1780000000.0,(-0.22276161724776306+0.02038792757696185j),(239.29639007549778+10.271483604413724j),376.73365301034374
1845000000.0,(-0.22964548246836072+0.01793846302330801j),(235.88748101394276+8.937110386637528j),376.7334218455106
1910000000.0,(-0.23849114701455482+0.015993167699432462j),(231.53984885719768+7.854891109085673j),376.73321387765805
1975000000.0,(-0.2499992894436059+0.015071234754917232j),(225.95254522912995+7.2665767138179564j),376.7330261037929
2040000000.0,(-0.26499932467135834+0.01646465057556274j),(218.79164633245156+7.75107357665878j),376.73285599159607
2105000000.0,(-0.28385758258640803+0.022913085450505407j),(209.95658363413762+10.470679850373191j),376.73270139359414
2170000000.0,(-0.30442158926210794+0.0389524208852999j),(200.3767414278804+17.233542138333426j),376.7325604790511
2235000000.0,(-0.31852479941354916+0.0677100260155553j),(193.20991221076676+29.268172240174827j),376.7324316795176
2300000000.0,(-0.31509379305890667+0.10175404961664107j),(192.79412111159536+44.0665307722392j),376.73231364499804
2365000000.0,(-0.2959545199758932+0.12500038271930694j),(199.30592613757145+55.56135324911242j),376.73220520842926
2430000000.0,(-0.2751460439923093+0.13244775923931526j),(207.84569602871+60.71933505917142j),376.73210535672195
2495000000.0,(-0.2609876902665474+0.13072378921529235j),(214.43366339572063+61.28483084810753j),376.73201320701116
2560000000.0,(-0.25393307221095357+0.1261971711465746j),(218.12344440311264+59.866883568690646j),376.7319279870736
2625000000.0,(-0.25214326936606374+0.12190716636588277j),(219.35718745093283+58.03451339447826j),376.7318490190965
2690000000.0,(-0.2540128812453694+0.11896687595322389j),(218.75076737717174+56.492799152868656j),376.7317757061578
2755000000.0,(-0.25852800317280517+0.11777574844147669j),(216.75699874680504+55.53994539336964j),376.7317075209124
