f,s11,s21,ZL,ZL_a
1000000000.0,(-0.765418022146426+0.00040446761174629917j),0j,(50.05986320533792+0.09778255411091634j),376.7408947925618
1085000000.0,(-0.7654203131386793+0.00043865297320917735j),0j,(50.05909372561518+0.1060463526745852j),376.73930177214294
1170000000.0,(-0.7654230411803535+0.00047279079126981763j),0j,(50.058262716631454+0.1142985893289252j),376.73804317953983
1255000000.0,(-0.7654261570559536+0.0005068775441935657j),0j,(50.057370457838786+0.1225384009998073j),376.73703155706124
1340000000.0,(-0.7654296262157034+0.0005409097436496381j),0j,(50.056417247920976+0.1307649340152702j),376.73620627379245
1425000000.0,(-0.7654334236650708+0.0005748839386662569j),0j,(50.0554034044082+0.138977344698052j),376.7355242242365
1510000000.0,(-0.7654375308087386+0.0006087967189953115j),(-0+0j),(50.05432926326979+0.14717479994013993j),376.7349540830208
1595000000.0,(-0.7654419334395188+0.000642644718077237j),(-0+0j),(50.053195178485616+0.15535647775820674j),376.7344726426866
1680000000.0,(-0.7654466204212784+0.00067642461571525j),(-0+0j),(50.05200152159783+0.16352156782932506j),376.73406241406195
1765000000.0,(-0.7654515828053411+0.0007101331405261259j),(-0+0j),(50.050748681243284+0.17166927200589546j),376.73371001518194
1850000000.0,(-0.7654568132249239+0.0007437670722119561j),(-0+0j),(50.0494370626681+0.17979880480930607j),376.73340506593524
1935000000.0,(-0.765462305472183+0.0007773232436731877j),(-0+0j),(50.04806708722533+0.18790939390133554j),376.73313941482144
2020000000.0,(-0.7654680541977708+0.0008107985429857879j),(-0+0j),(50.04663919185687+0.19600028053301694j),376.7329065884869
2105000000.0,(-0.7654740546941817+0.0008441899152488898j),(-0+0j),(50.04515382856088+0.2040707199701782j),376.73270139359414
2190000000.0,(-0.7654803027374143+0.0008774943643117372j),(-0+0j),(50.04361146384549+0.21211998189517473j),376.73251962468436
2275000000.0,(-0.7654867944698643+0.0009107089543834254j),(-0+0j),(50.04201257817052+0.2201473507844812j),376.7323578469676
2360000000.0,(-0.7654935263128071+0.0009438308115298818j),(-0+0j),(50.04035766537806+0.22815212626172007j),376.732213232857
2445000000.0,(-0.7655004949003925+0.000976857125058311j),(-0+0j),(50.03864723211297+0.2361336234258821j),376.73208343756943
2530000000.0,(-0.7655076970294771+0.0010097851487915574j),(-0+0j),(50.036881797234884+0.24409117315433443j),376.73196650347546
2615000000.0,(-0.7655151296212507+0.0010426122022330368j),(-0+0j),(50.035061891222824+0.25202412238065275j),376.7318607858488
2700000000.0,(-0.7655227896917379+0.0010753356716233875j),(-0+0j),(50.03318805557317+0.25993183434706607j),376.73176489471365
