f,s11
10000000000.0,(-0.7164541483498226+0.06958586261354134j)
10020000000.0,(-0.7152172890545979+0.0716973923466089j)
10040000000.0,(-0.7138491198070982+0.0737541553963383j)
10060000000.0,(-0.7123529945526198+0.07574726743701278j)
10080000000.0,(-0.7107329073839886+0.07766810862212087j)
10100000000.0,(-0.7089934672464993+0.07950837284209938j)
10120000000.0,(-0.7071398685288413+0.08126011416410757j)
10140000000.0,(-0.7051778578975336+0.08291579007599433j)
10160000000.0,(-0.7031136977700463+0.08446830120727625j)
10180000000.0,(-0.7009541268517538+0.08591102725430447j)
10200000000.0,(-0.6987063181836359+0.08723785889390671j)
10220000000.0,(-0.6963778351611376+0.08844322552808837j)
10240000000.0,(-0.6939765859897983+0.08952211876084394j)
10260000000.0,(-0.6915107770406839+0.09047011156523135j)
10280000000.0,(-0.6889888655582912+0.09128337315389837j)
10300000000.0,(-0.6864195121567979+0.09195867961760924j)
10320000000.0,(-0.6838115335171496+0.0924934204439449j)
10340000000.0,(-0.6811738556692241+0.0928856010706948j)
10360000000.0,(-0.678515468210531+0.0931338416656042j)
10380000000.0,(-0.6758453797768327+0.09323737235543304j)
10400000000.0,(-0.6731725750415095+0.09319602515257532j)
10420000000.0,(-0.6705059734806422+0.0930102228467154j)
10440000000.0,(-0.6678543901001793+0.09268096514232484j)
10460000000.0,(-0.6652264982814629+0.09220981233035273j)
10480000000.0,(-0.6626307948620233+0.09159886678457999j)
10500000000.0,(-0.6600755675314532+0.0908507525704092j)
10520000000.0,(-0.6575688645866344+0.08996859344640172j)
10540000000.0,(-0.6551184670584456+0.08895598952774077j)
10560000000.0,(-0.6527318631927428+0.087816992866084j)
10580000000.0,(-0.6504162252424722+0.08655608218286275j)
10600000000.0,(-0.6481783885054518+0.08517813697339048j)
10620000000.0,(-0.6460248325236896+0.08368841117787772j)
10640000000.0,(-0.6439616643450481+0.08209250659295722j)
10660000000.0,(-0.6419946037365616+0.08039634617433358j)
10680000000.0,(-0.6401289702308616+0.078606147357988j)
10700000000.0,(-0.6383696718823285+0.07672839550442859j)
10720000000.0,(-0.6367211956082063+0.07476981754828628j)
10740000000.0,(-0.6351875989911506+0.07273735591430476j)
10760000000.0,(-0.6337725034236853+0.07063814274072296j)
10780000000.0,(-0.632479088481369+0.06847947443268193j)
10800000000.0,(-0.6313100874199452+0.06626878655147085j)
10820000000.0,(-0.6302677837019676+0.06401362903058237j)
10840000000.0,(-0.629354008470285+0.06172164169673594j)
10860000000.0,(-0.6285701388987242+0.05940053006321484j)
10880000000.0,(-0.6279170973647317+0.0570580413544467j)
10900000000.0,(-0.6273953514030626+0.05470194071432129j)
10920000000.0,(-0.6270049144155954+0.05233998754687086j)
10940000000.0,(-0.6267453471274343+0.049979911936131514j)
10960000000.0,(-0.6266157597952924+0.047629391092636364j)
10980000000.0,(-0.6266148151894146+0.04529602577680411j)
11000000000.0,(-0.626740732385083+0.04298731665462653j)
