f,s11
1000000000.0,(1.6373100323866285-0.00024256531653856766j)
1015000000.0,(1.6373052268506743-0.00025796930485461495j)
1030000000.0,(1.6373021098593932-0.00027354122907749344j)
1045000000.0,(1.6373006838354192-0.00028906701018830355j)
1060000000.0,(1.6373009225406383-0.00030433314015852866j)
1075000000.0,(1.6373027713644372-0.00031913063908766396j)
1090000000.0,(1.6373061481519446-0.0003332589332770294j)
1105000000.0,(1.6373109445554055-0.0003465295818362349j)
1120000000.0,(1.6373170278837208-0.00035876978290487737j)
1135000000.0,(1.637324243415453-0.0003698255933388133j)
1150000000.0,(1.6373324171318282-0.00037956480219569034j)
1165000000.0,(1.6373413588191572-0.00038787940427577566j)
1180000000.0,(1.6373508654822087-0.0003946876264278865j)
1195000000.0,(1.6373607250055442-0.00039993546930002877j)
1210000000.0,(1.6373707199938434-0.0004035977348452819j)
1225000000.0,(1.6373806317200938-0.0004056785195746749j)
1240000000.0,(1.6373902441068464-0.00040621116433600587j)
1255000000.0,(1.6373993476676172-0.0004052576602362407j)
1270000000.0,(1.6374077433327705-0.00040290752195218176j)
1285000000.0,(1.6374152460895908-0.00039927614797757817j)
1300000000.0,(1.6374216883674677-0.00039450269840692927j)
1315000000.0,(1.637426923104488-0.00038874752963597716j)
1330000000.0,(1.637430826438051-0.0003821892324520729j)
1345000000.0,(1.6374332999688652-0.00037502132958015246j)
1360000000.0,(1.637434272554679-0.00036744869323442915j)
1375000000.0,(1.6374337016010327-0.000359683749948062j)
1390000000.0,(1.6374315738231449-0.0003519425430095264j)
1405000000.0,(1.6374279054659138-0.00034444072624290143j)
1420000000.0,(1.6374227419755838-0.00033738956356742244j)
1435000000.0,(1.6374161571306833-0.0003309920095818225j)
1450000000.0,(1.6374082516472723-0.00032543894359523287j)
1465000000.0,(1.637399151284855-0.0003209056281154006j)
1480000000.0,(1.6373890044874635-0.00031754845744179794j)
1495000000.0,(1.6373779796048145-0.00031550205714386093j)
1510000000.0,(1.6373662617445972-0.00031487678854723625j)
1525000000.0,(1.63735404931496-0.00031575670430642323j)
1540000000.0,(1.6373415503213302-0.0003181979935810442j)
1555000000.0,(1.6373289784869236-0.000322227945144002j)
1570000000.0,(1.6373165492686952-0.0003278444476610904j)
1585000000.0,(1.6373044758435005-0.000335016036535094j)
1600000000.0,(1.6372929651383819-0.0003436824854183382j)
1615000000.0,(1.6372822139793082-0.0003537559320325234j)
1630000000.0,(1.637272405429462-0.00036512251655605103j)
