f,s11
10000000000.0,(-0.654178283346608+0.0011492632772125435j)
10020000000.0,(-0.6541772786464+0.0011515558572067262j)
10040000000.0,(-0.6541762783337692+0.0011538483846782728j)
10060000000.0,(-0.6541752823706366+0.0011561408595562035j)
10080000000.0,(-0.6541742907193011+0.0011584332817694972j)
10100000000.0,(-0.6541733033424355+0.001160725651246789j)
10120000000.0,(-0.6541723202030806+0.0011630179679167228j)
10140000000.0,(-0.6541713412646427+0.0011653102317074708j)
10160000000.0,(-0.6541703664908873+0.0011676024425474182j)
10180000000.0,(-0.6541693958459373+0.0011698946003642502j)
10200000000.0,(-0.6541684292942661+0.0011721867050858898j)
10220000000.0,(-0.6541674668006962+0.0011744787566398134j)
10240000000.0,(-0.6541665083303924+0.001176770754953482j)
10260000000.0,(-0.6541655538488601+0.0011790626999541125j)
10280000000.0,(-0.6541646033219397+0.0011813545915687026j)
10300000000.0,(-0.6541636567158037+0.0011836464297241593j)
10320000000.0,(-0.6541627139969526+0.0011859382143470914j)
10340000000.0,(-0.6541617751322109+0.001188229945364018j)
10360000000.0,(-0.6541608400887229+0.0011905216227012117j)
10380000000.0,(-0.6541599088339504+0.0011928132462849773j)
10400000000.0,(-0.6541589813356675+0.0011951048160411227j)
10420000000.0,(-0.654158057561958+0.0011973963318955385j)
10440000000.0,(-0.6541571374812114+0.0011996877937739687j)
10460000000.0,(-0.6541562210621196+0.0012019792016017348j)
10480000000.0,(-0.6541553082736733+0.001204270555304264j)
10500000000.0,(-0.6541543990851585+0.001206561854806687j)
10520000000.0,(-0.6541534934661536+0.0012088531000340108j)
10540000000.0,(-0.6541525913865254+0.0012111442909110452j)
10560000000.0,(-0.654151692816426+0.0012134354273625283j)
10580000000.0,(-0.6541507977262904+0.0012157265093129218j)
10600000000.0,(-0.6541499060868318+0.001218017536686691j)
10620000000.0,(-0.65414901786904+0.0012203085094079486j)
10640000000.0,(-0.6541481330441771+0.0012225994274007832j)
10660000000.0,(-0.654147251583775+0.0012248902905891569j)
10680000000.0,(-0.6541463734596323+0.0012271810988968804j)
10700000000.0,(-0.654145498643811+0.0012294718522474861j)
10720000000.0,(-0.6541446271086345+0.0012317625505644783j)
10740000000.0,(-0.6541437588266832+0.0012340531937712579j)
