f,s11
10000000000.0,(-0.6862881812231927+0.02769236528187068j)
10020000000.0,(-0.6862400800888954+0.0277314875127764j)
10040000000.0,(-0.6861919431853974+0.027770520230777536j)
10060000000.0,(-0.6861437705706849+0.027809463354173825j)
10080000000.0,(-0.6860955623042454+0.027848316801706897j)
10100000000.0,(-0.686047318447051+0.027887080492560907j)
10120000000.0,(-0.6859990390615408+0.027925754346362668j)
10140000000.0,(-0.6859507242116029+0.027964338283182382j)
10160000000.0,(-0.6859023739625596+0.028002832223533624j)
10180000000.0,(-0.685853988381149+0.028041236088373972j)
10200000000.0,(-0.6858055675355086+0.028079549799105492j)
10220000000.0,(-0.6857571114951609+0.02811777327757451j)
10240000000.0,(-0.685708620330996+0.028155906446072607j)
10260000000.0,(-0.6856600941152546+0.02819394922733677j)
10280000000.0,(-0.6856115329215159+0.028231901544549416j)
10300000000.0,(-0.6855629368246787+0.0282697633213393j)
10320000000.0,(-0.6855143059009485+0.028307534481781298j)
10340000000.0,(-0.6854656402278214+0.02834521495039689j)
10360000000.0,(-0.6854169398840688+0.028382804652154873j)
10380000000.0,(-0.6853682049497253+0.028420303512470838j)
10400000000.0,(-0.6853194355060708+0.02845771145720846j)
10420000000.0,(-0.6852706316356187+0.028495028412679004j)
10440000000.0,(-0.685221793422101+0.028532254305642022j)
10460000000.0,(-0.685172920950454+0.028569389063305462j)
10480000000.0,(-0.6851240143068049+0.028606432613326148j)
10500000000.0,(-0.6850750735784595+0.02864338488380977j)
10520000000.0,(-0.6850260988538854+0.0286802458033115j)
10540000000.0,(-0.6849770902227031+0.028717015300835747j)
10560000000.0,(-0.6849280477756692+0.028753693305837207j)
10580000000.0,(-0.6848789716046657+0.028790279748220245j)
10600000000.0,(-0.6848298618026861+0.02882677455833963j)
10620000000.0,(-0.6847807184638237+0.028863177667000868j)
10640000000.0,(-0.6847315416832581+0.028899489005460032j)
10660000000.0,(-0.6846823315572438+0.028935708505424384j)
10680000000.0,(-0.6846330881830972+0.02897183609905228j)
10700000000.0,(-0.6845838116591851+0.0290078717189539j)
10720000000.0,(-0.6845345020849128+0.02904381529819061j)
10740000000.0,(-0.6844851595607124+0.029079666770276156j)
10760000000.0,(-0.6844357841880314+0.02911542606917593j)
10780000000.0,(-0.6843863760693195+0.029151093129308105j)
10800000000.0,(-0.6843369353080201+0.029186667885543097j)
10820000000.0,(-0.6842874620085571+0.0292221502732039j)
10840000000.0,(-0.6842379562763239+0.02925754022806675j)
10860000000.0,(-0.6841884182176735+0.029292837686360644j)
10880000000.0,(-0.6841388479399073+0.029328042584767854j)
10900000000.0,(-0.6840892455512636+0.029363154860424134j)
10920000000.0,(-0.6840396111609078+0.029398174450918864j)
10940000000.0,(-0.6839899448789221+0.029433101294295043j)
10960000000.0,(-0.6839402468162943+0.029467935329049597j)
10980000000.0,(-0.6838905170849087+0.029502676494133497j)
11000000000.0,(-0.6838407557975352+0.029537324728951958j)
11020000000.0,(-0.6837909630678197+0.029571879973364416j)
11040000000.0,(-0.6837411390102738+0.029606342167684766j)
11060000000.0,(-0.6836912837402654+0.02964071125268165j)
11080000000.0,(-0.6836413973740092+0.029674987169578313j)
11100000000.0,(-0.6835914800285573+0.029709169860052786j)
11120000000.0,(-0.683541531821788+0.029743259266238355j)
11140000000.0,(-0.6834915528723996+0.029777255330723004j)
11160000000.0,(-0.6834415432998986+0.029811157996550146j)
11180000000.0,(-0.6833915032245911+0.029844967207218475j)
11200000000.0,(-0.6833414327675748+0.029878682906681883j)
11220000000.0,(-0.6832913320507296+0.029912305039349982j)
11240000000.0,(-0.6832412011967071+0.02994583355008788j)
11260000000.0,(-0.6831910403289252+0.029979268384216273j)
11280000000.0,(-0.6831408495715562+0.030012609487511655j)
11300000000.0,(-0.6830906290495202+0.030045856806206417j)
11320000000.0,(-0.6830403788884761+0.03007901028698876j)
11340000000.0,(-0.6829900992148134+0.03011206987700271j)
11360000000.0,(-0.6829397901556432+0.03014503552384855j)
11380000000.0,(-0.6828894518387912+0.030177907175582695j)
11400000000.0,(-0.6828390843927885+0.03021068478071748j)
11420000000.0,(-0.6827886879468646+0.030243368288221505j)
11440000000.0,(-0.6827382626309383+0.030275957647519603j)
11460000000.0,(-0.6826878085756117+0.030308452808492963j)
11480000000.0,(-0.68263732591216+0.03034085372147894j)
11500000000.0,(-0.6825868147725258+0.030373160337271523j)
11520000000.0,(-0.6825362752893102+0.030405372607120725j)
11540000000.0,(-0.6824857075957669+0.03043749048273327j)
11560000000.0,(-0.682435111825793+0.030469513916272097j)
11580000000.0,(-0.6823844881139225+0.030501442860356717j)
11600000000.0,(-0.6823338365953191+0.030533277268063j)
11620000000.0,(-0.6822831574057686+0.030565017092923523j)
11640000000.0,(-0.682232450681672+0.030596662288927056j)
11660000000.0,(-0.682181716560039+0.030628212810518817j)
11680000000.0,(-0.6821309551784794+0.0306596686126008j)
11700000000.0,(-0.682080166675198+0.030691029650531266j)
11720000000.0,(-0.6820293511889866+0.030722295880124904j)
11740000000.0,(-0.6819785088592176+0.03075346725765296j)
11760000000.0,(-0.6819276398258376+0.03078454373984294j)
11780000000.0,(-0.6818767442293597+0.030815525283878938j)
11800000000.0,(-0.6818258222108589+0.030846411847401115j)
11820000000.0,(-0.6817748739119627+0.030877203388506417j)
11840000000.0,(-0.6817238994748478+0.03090789986574761j)
11860000000.0,(-0.6816728990422308+0.030938501238134134j)
11880000000.0,(-0.6816218727573646+0.03096900746513146j)
11900000000.0,(-0.6815708207640304+0.030999418506661096j)
11920000000.0,(-0.6815197432065316+0.031029734323100952j)
11940000000.0,(-0.6814686402296881+0.03105995487528483j)
11960000000.0,(-0.6814175119788306+0.031090080124502546j)
11980000000.0,(-0.6813663585997937+0.031120110032499974j)
12000000000.0,(-0.6813151802389101+0.03115004456147878j)
12020000000.0,(-0.6812639770430056+0.03117988367409651j)
12040000000.0,(-0.6812127491593922+0.0312096273334663j)
12060000000.0,(-0.6811614967358629+0.031239275503157155j)
12080000000.0,(-0.6811102199206852+0.03126882814719361j)
12100000000.0,(-0.6810589188625976+0.031298285230055574j)
12120000000.0,(-0.6810075937108001+0.031327646716678516j)
12140000000.0,(-0.6809562446149524+0.03135691257245318j)
12160000000.0,(-0.6809048717251674+0.031386082763225465j)
12180000000.0,(-0.6808534751920039+0.03141515725529651j)
12200000000.0,(-0.6808020551664629+0.031444136015422376j)
12220000000.0,(-0.6807506117999821+0.031473019010814327j)
12240000000.0,(-0.6806991452444304+0.03150180620913784j)
12260000000.0,(-0.6806476556521026+0.0315304975785137j)
12280000000.0,(-0.6805961431757134+0.031559093087517j)
12300000000.0,(-0.6805446079683942+0.03158759270517724j)
12320000000.0,(-0.6804930501836858+0.031615996400978445j)
12340000000.0,(-0.6804414699755349+0.0316443041448587j)
12360000000.0,(-0.6803898674982879+0.03167251590721017j)
12380000000.0,(-0.6803382429066868+0.03170063165887911j)
12400000000.0,(-0.6802865963558639+0.031728651371165414j)
12420000000.0,(-0.6802349280013374+0.03175657501582273j)
12440000000.0,(-0.6801832379990052+0.03178440256505824j)
12460000000.0,(-0.6801315265051415+0.031812133991532446j)
12480000000.0,(-0.6800797936763917+0.03183976926835911j)
12500000000.0,(-0.6800280396697671+0.03186730836910508j)
12520000000.0,(-0.6799762646426409+0.031894751267790004j)
12540000000.0,(-0.6799244687527433+0.031922097938886465j)
12560000000.0,(-0.6798726521581571+0.031949348357319544j)
12580000000.0,(-0.6798208150173117+0.031976502498466744j)
12600000000.0,(-0.6797689574889824+0.03200356033815754j)
12620000000.0,(-0.6797170797322803+0.03203052185267415j)
12640000000.0,(-0.6796651819066531+0.032057387018750015j)
12660000000.0,(-0.6796132641718776+0.0320841558135708j)
12680000000.0,(-0.6795613266880568+0.03211082821477307j)
12700000000.0,(-0.6795093696156144+0.03213740420044536j)
12720000000.0,(-0.6794573931152911+0.03216388374912713j)
12740000000.0,(-0.6794053973481414+0.03219026683980876j)
12760000000.0,(-0.6793533824755272+0.032216553451931335j)
12780000000.0,(-0.679301348659116+0.032242743565386624j)
12800000000.0,(-0.6792492960608741+0.03226883716051668j)
12820000000.0,(-0.6791972248430651+0.03229483421811377j)
12840000000.0,(-0.6791451351682443+0.03232073471942001j)
12860000000.0,(-0.6790930271992551+0.03234653864612728j)
12880000000.0,(-0.679040901099225+0.03237224598037699j)
12900000000.0,(-0.6789887570315611+0.0323978567047599j)
12920000000.0,(-0.6789365951599478+0.03242337080231563j)
12940000000.0,(-0.6788844156483398+0.03244878825653292j)
12960000000.0,(-0.6788322186609622+0.03247410905134896j)
12980000000.0,(-0.6787800043623033+0.03249933317114927j)
13000000000.0,(-0.6787277729171124+0.03252446060076772j)
13020000000.0,(-0.678675524490396+0.03254949132548578j)
13040000000.0,(-0.6786232592474132+0.03257442533103294j)
13060000000.0,(-0.6785709773536732+0.03259926260358604j)
13080000000.0,(-0.6785186789749305+0.03262400312976876j)
13100000000.0,(-0.6784663642771819+0.03264864689665223j)
13120000000.0,(-0.6784140334266628+0.03267319389175378j)
13140000000.0,(-0.6783616865898431+0.03269764410303743j)
13160000000.0,(-0.678309323933424+0.03272199751891342j)
13180000000.0,(-0.6782569456243349+0.03274625412823763j)
13200000000.0,(-0.6782045518297289+0.03277041392031184j)
13220000000.0,(-0.6781521427169802+0.03279447688488307j)
13240000000.0,(-0.6780997184536802+0.03281844301214339j)
13260000000.0,(-0.6780472792076343+0.03284231229272988j)
13280000000.0,(-0.6779948251468578+0.032866084717723884j)
13300000000.0,(-0.6779423564395738+0.03288976027865147j)
13320000000.0,(-0.6778898732542086+0.03291333896748208j)
13340000000.0,(-0.6778373757593888+0.03293682077662944j)
13360000000.0,(-0.6777848641239388+0.03296020569895036j)
13380000000.0,(-0.6777323385168758+0.0329834937277449j)
13400000000.0,(-0.6776797991074084+0.033006684856755876j)
13420000000.0,(-0.6776272460649319+0.03302977908016871j)
13440000000.0,(-0.6775746795590263+0.03305277639261107j)
13460000000.0,(-0.6775220997594518+0.03307567678915258j)
13480000000.0,(-0.6774695068361474+0.033098480265304396j)
13500000000.0,(-0.6774169009592255+0.033121186817018956j)
13520000000.0,(-0.677364282298971+0.033143796440690064j)
13540000000.0,(-0.677311651025837+0.03316630913315179j)
13560000000.0,(-0.6772590073104419+0.03318872489167885j)
13580000000.0,(-0.6772063513235662+0.03321104371398611j)
13600000000.0,(-0.6771536832361504+0.03323326559822781j)
13620000000.0,(-0.677101003219291+0.03325539054299807j)
13640000000.0,(-0.6770483114442378+0.033277418547329754j)
13660000000.0,(-0.6769956080823909+0.033299349610694806j)
13680000000.0,(-0.6769428933052982+0.03332118373300331j)
13700000000.0,(-0.6768901672846522+0.033342920914603606j)
13720000000.0,(-0.6768374301922865+0.03336456115628192j)
13740000000.0,(-0.6767846822001744+0.03338610445926181j)
13760000000.0,(-0.6767319234804244+0.03340755082520388j)
13780000000.0,(-0.6766791542052794+0.03342890025620537j)
13800000000.0,(-0.6766263745471104+0.03345015275480034j)
13820000000.0,(-0.6765735846784184+0.03347130832395843j)
13840000000.0,(-0.676520784771828+0.03349236696708523j)
13860000000.0,(-0.6764679750000857+0.03351332868802159j)
13880000000.0,(-0.676415155536058+0.03353419349104346j)
13900000000.0,(-0.6763623265527275+0.033554961380861316j)
13920000000.0,(-0.6763094882231907+0.03357563236261984j)
13940000000.0,(-0.6762566407206563+0.033596206441897855j)
13960000000.0,(-0.6762037842184401+0.0336166836247074j)
13980000000.0,(-0.676150918889965+0.03363706391749393j)
14000000000.0,(-0.6760980449087571+0.03365734732713557j)
