f,s11
10000000000.0,(-0.6991663515455608+0.07489516443614877j)
10020000000.0,(-0.697926596648227+0.0756623558416522j)
10040000000.0,(-0.6966620606025692+0.076391614178819j)
10060000000.0,(-0.6953738871516523+0.07708210992252248j)
10080000000.0,(-0.6940632502291445+0.07773304212470554j)
10100000000.0,(-0.6927313536931291+0.07834363966404023j)
10120000000.0,(-0.6913794310025418+0.07891316253336113j)
10140000000.0,(-0.6900087448318905+0.07944090316232592j)
10160000000.0,(-0.6886205866199813+0.07992618777241825j)
10180000000.0,(-0.6872162760484757+0.08036837776105148j)
10200000000.0,(-0.6857971604462024+0.08076687111118348j)
10220000000.0,(-0.6843646141153156+0.08112110382249248j)
10240000000.0,(-0.6829200375755354+0.08143055135981021j)
10260000000.0,(-0.6814648567229287+0.08169473011415068j)
10280000000.0,(-0.6800005218999062+0.08191319887132217j)
10300000000.0,(-0.678528506873378+0.08208556028276293j)
10320000000.0,(-0.6770503077182939+0.08221146233290647j)
10340000000.0,(-0.6755674416041336+0.08229059979705282j)
10360000000.0,(-0.6740814454822553+0.08232271568341314j)
10380000000.0,(-0.6725938746724025+0.08230760265270014j)
10400000000.0,(-0.6711063013470954+0.08224510440836227j)
10420000000.0,(-0.6696203129130762+0.0821351170503109j)
10440000000.0,(-0.6681375102894704+0.0819775903847655j)
10460000000.0,(-0.6666595060828194+0.08177252918265006j)
10480000000.0,(-0.6651879226597038+0.0815199943788162j)
10500000000.0,(-0.6637243901182139+0.08122010420424357j)
10520000000.0,(-0.6622705441601298+0.08087303524329252j)
10540000000.0,(-0.6608280238662735+0.08047902340803932j)
10560000000.0,(-0.6593984693781163+0.08003836482173991j)
10580000000.0,(-0.6579835194893716+0.07955141660352j)
10600000000.0,(-0.6565848091519402+0.07901859754650335j)
10620000000.0,(-0.6552039669012357+0.07844038868175066j)
10640000000.0,(-0.6538426122065701+0.07781733372060046j)
10660000000.0,(-0.6525023527529226+0.07715003936828248j)
10680000000.0,(-0.6511847816610618+0.07643917550200308j)
10700000000.0,(-0.6498914746536197+0.07568547520709905j)
10720000000.0,(-0.6486239871753041+0.07488973466530477j)
10740000000.0,(-0.6473838514760373+0.0740528128896876j)
10760000000.0,(-0.6461725736663413+0.07317563130136992j)
10780000000.0,(-0.6449916307548013+0.07225917314378025j)
10800000000.0,(-0.643842467677912+0.0713044827308436j)
10820000000.0,(-0.642726494333021+0.07031266452624714j)
10840000000.0,(-0.6416450826254485+0.06928488205168452j)
10860000000.0,(-0.6405995635411726+0.06822235662278785j)
10880000000.0,(-0.6395912242566966+0.06712636591230646j)
10900000000.0,(-0.6386213052978933+0.06599824234096494j)
10920000000.0,(-0.6376909977597226+0.06483937129733466j)
10940000000.0,(-0.6368014405987326+0.06365118918897361j)
10960000000.0,(-0.6359537180101992+0.062435181328021276j)
10980000000.0,(-0.6351488569016371+0.06119287965536753j)
11000000000.0,(-0.6343878244741767+0.05992586030845068j)
11020000000.0,(-0.6336715259230186+0.0586357410386579j)
11040000000.0,(-0.6330008022677875+0.057324178485205j)
11060000000.0,(-0.6323764283231513+0.05599286531324712j)
11080000000.0,(-0.6317991108195259+0.05464352722480892j)
11100000000.0,(-0.6312694866830787+0.05327791985192795j)
11120000000.0,(-0.6307881214835517+0.051897825542142735j)
11140000000.0,(-0.6303555080576705+0.050505050047157836j)
11160000000.0,(-0.6299720653150991+0.04910141912613576j)
11180000000.0,(-0.629638137233016+0.04768877507563067j)
11200000000.0,(-0.6293539920444786+0.04626897319865716j)
11220000000.0,(-0.6291198216247732+0.04484387822578813j)
11240000000.0,(-0.6289357410789529+0.043415360701500996j)
11260000000.0,(-0.6288017885327474+0.04198529334921183j)
11280000000.0,(-0.6287179251279781+0.04055554742859415j)
11300000000.0,(-0.6286840352225758+0.03912798909881302j)
11320000000.0,(-0.628699926794237+0.03770447580128089j)
11340000000.0,(-0.62876533204572+0.03628685267540303j)
11360000000.0,(-0.6288799082087557+0.03487694902055941j)
11380000000.0,(-0.6290432385425516+0.03347657481727044j)
