f,s11
1000000000.0,(-0.1896420811637502-0.004848538516510101j)
1080000000.0,(-0.19392120685073552-0.0033969691048792465j)
1160000000.0,(-0.19838545931695525-0.0015529384960771995j)
1240000000.0,(-0.2030046339637774+0.0007012319589780504j)
1320000000.0,(-0.20774742140112032+0.0033810108615252516j)
1400000000.0,(-0.21258153733098753+0.006499579851238805j)
1480000000.0,(-0.21747387111633948+0.010067769967328099j)
1560000000.0,(-0.2223906463707173+0.014094011570151454j)
1640000000.0,(-0.2272975892689548+0.018584298018347784j)
1720000000.0,(-0.23216010157124906+0.023542163203560843j)
1800000000.0,(-0.23694343608777718+0.02896867295071152j)
1880000000.0,(-0.2416128727474868+0.0348624301973687j)
1960000000.0,(-0.24613389370749233+0.04121959377193345j)
2040000000.0,(-0.25047235612119956+0.04803391049789695j)
2120000000.0,(-0.2545946613142172+0.055296760261172556j)
2200000000.0,(-0.2584679192202514+0.06299721359022997j)
2280000000.0,(-0.2620601070177815+0.07112210121522972j)
2360000000.0,(-0.26534022099021376+0.07965609499335104j)
2440000000.0,(-0.2682784207120183+0.08858179951371078j)
2520000000.0,(-0.2708461647436028+0.09787985362739803j)
2600000000.0,(-0.27301633709992157+0.10752904108681036j)
2680000000.0,(-0.27476336384256056+0.11750640942426992j)
2760000000.0,(-0.2760633192325532+0.12778739615331242j)
2840000000.0,(-0.276894020971155+0.13834596133755928j)
2920000000.0,(-0.27723511414788243+0.1491547255420082j)
3000000000.0,(-0.27706814360868076+0.16018511216024772j)
3080000000.0,(-0.27637661455139334+0.17140749309864486j)
3160000000.0,(-0.27514604125003445+0.18279133679509602j)
3240000000.0,(-0.27336398390284267+0.19430535755543737j)
3320000000.0,(-0.27102007369086983+0.20591766520496896j)
3400000000.0,(-0.26810602622312296+0.21759591407554982j)
3480000000.0,(-0.2646156436301125+0.22930745038004982j)
3560000000.0,(-0.26054480564932364+0.24101945706517633j)
3640000000.0,(-0.2558914501228322+0.25269909528035756j)
3720000000.0,(-0.25065554339826174+0.26431364165383336j)
3800000000.0,(-0.24483904118900576+0.2758306206267469j)
3880000000.0,(-0.2384458405073984+0.28721793116109395j)
3960000000.0,(-0.23148172333496855+0.29844396720709526j)
4040000000.0,(-0.22395429273655418+0.3094777313890515j)
4120000000.0,(-0.21587290215968766+0.32028894144517633j)
4200000000.0,(-0.20724857868702767+0.3308481290353602j)
4280000000.0,(-0.19809394102766464+0.34112673061039994j)
4360000000.0,(-0.1884231130428855+0.3510971701160362j)
4440000000.0,(-0.17825163360353752+0.36073293338428136j)
4520000000.0,(-0.16759636356972515+0.37000863414213j)
4600000000.0,(-0.1564753906695223+0.37890007164300854j)
4680000000.0,(-0.14490793303205976+0.3873842799984634j)
4760000000.0,(-0.13291424210226743+0.3954395693558952j)
4840000000.0,(-0.12051550563022856+0.40304555913197215j)
4920000000.0,(-0.1077337513881878+0.4101832035701332j)
5000000000.0,(-0.09459175222338342+0.4168348099438362j)
5080000000.0,(-0.08111293300576528+0.4229840497744878j)
5160000000.0,(-0.06732127997705291+0.4286159634740377j)
5240000000.0,(-0.05324125295223508+0.43371695885676015j)
5320000000.0,(-0.03889770076725588+0.4382748039926712j)
5400000000.0,(-0.024315780308093404+0.44227861489628295j)
5480000000.0,(-0.009520879397372464+0.44571883855903016j)
5560000000.0,(0.005461456244124227+0.4485872318417989j)
5640000000.0,(0.020605591801529436+0.45087683674580764j)
5720000000.0,(0.03588586783230372+0.4525819525758376j)
5800000000.0,(0.05127666034577086+0.45369810549987716j)
5880000000.0,(0.06675243649787983+0.45422201599397993j)
5960000000.0,(0.08228780595134026+0.4541515646410298j)
6040000000.0,(0.09785756799564692+0.4534857567275947j)
6120000000.0,(0.11343675456183731+0.45222468605471633j)
6200000000.0,(0.1290006693027965+0.45036949834680345j)
6280000000.0,(0.1445249229413286+0.44792235460841445j)
6360000000.0,(0.15998546511486866+0.44488639474212227j)
6440000000.0,(0.17535861296752414+0.4412657017025209j)
6520000000.0,(0.1906210767571151+0.4370652664222306j)
6600000000.0,(0.20574998275696993+0.4322909537061406j)
6680000000.0,(0.22072289373966336+0.4269494692505565j)
6760000000.0,(0.23551782733265345+0.42104832790496477j)
6840000000.0,(0.2501132725342+0.4145958232562309j)
6920000000.0,(0.26448820467221956+0.40760099857869514j)
7000000000.0,(0.278622099079176+0.4000736191591954j)
7080000000.0,(0.2924949437429888+0.39202414597392427j)
7160000000.0,(0.30608725117772245+0.3834637106645143j)
7240000000.0,(0.31938006973877325+0.37440409173413897j)
7320000000.0,(0.3323549945858776+0.3648576918609074j)
7400000000.0,(0.3449941784739014+0.3548375162056286j)
7480000000.0,(0.3572803425264856+0.34435715157421365j)
7560000000.0,(0.3691967871216104+0.33343074628167363j)
7640000000.0,(0.38072740299147734+0.32207299055486105j)
7720000000.0,(0.39185668261213397+0.3102990973047794j)
7800000000.0,(0.4025697319314744+0.2981247830963857j)
7880000000.0,(0.41285228245793154+0.28556624914419765j)
7960000000.0,(0.42269070370677+0.27264016216559456j)
8040000000.0,(0.4320720159766804+0.25936363493019543j)
8120000000.0,(0.4409839034067095+0.2457542063529925j)
8200000000.0,(0.44941472724267256+0.2318298209906666j)
8280000000.0,(0.45735353922335725+0.21760880781451428j)
8360000000.0,(0.4647900949802353+0.20310985814933083j)
8440000000.0,(0.471714867330209+0.18835200268512656j)
8520000000.0,(0.4781190593292627+0.1733545874874086j)
8600000000.0,(0.4839946169458626+0.15813724895154638j)
8680000000.0,(0.4893342412065754+0.14271988766719762j)
8760000000.0,(0.4941313996627084+0.1271226411795266j)
8840000000.0,(0.49838033702572404+0.11136585565468306j)
8920000000.0,(0.5020760848207376+0.09547005647744972j)
9000000000.0,(0.5052144699114529+0.07945591782875878j)
9080000000.0,(0.5077921217562594+0.06334423130969863j)
9160000000.0,(0.5098064782638334+0.04715587369638549j)
9240000000.0,(0.5112557901271595+0.030911773926448432j)
9320000000.0,(0.5121391235272947+0.014632879432662636j)
9400000000.0,(0.512456361112184-0.0016598780477303555j)
9480000000.0,(0.5122082011711253-0.01794561704836467j)
9560000000.0,(0.5113961549418745-0.03420354118505536j)
9640000000.0,(0.5100225420045836-0.05041297404739677j)
9720000000.0,(0.5080904837344946-0.06655339401021854j)
9800000000.0,(0.5056038948033627-0.0826044688018543j)
9880000000.0,(0.5025674727376109-0.0985460896657583j)
9960000000.0,(0.49898668555904013-0.11435840495372052j)
10040000000.0,(0.4948677575512364-0.13002185299269683j)
10120000000.0,(0.49021765321143873-0.14551719407301544j)
10200000000.0,(0.48504405946330514-0.16082554141329405j)
10280000000.0,(0.4793553662205586-0.17592839096669063j)
10360000000.0,(0.47316064540475633-0.1908076499439114j)
10440000000.0,(0.46646962853219087-0.20544566394056563j)
10520000000.0,(0.459292682995134-0.21982524256977837j)
10600000000.0,(0.45164078717113104-0.23392968351522794j)
10680000000.0,(0.4435255045007741-0.24774279493477908j)
10760000000.0,(0.4349589566792764-0.26124891616039114j)
10840000000.0,(0.4259537961102185-0.2744329366557798j)
10920000000.0,(0.41652317777101-0.28728031320918035j)
11000000000.0,(0.40668073063899596-0.2997770853542862j)
11080000000.0,(0.39644052882467473-0.31190988902780636j)
11160000000.0,(0.3858170625544153-0.32366596848688217j)
11240000000.0,(0.37482520913927925-0.33503318652368197j)
11320000000.0,(0.36348020405934023-0.3460000330276286j)
11400000000.0,(0.35179761228428297-0.3565556319577786j)
11480000000.0,(0.3397932999412361-0.36668974679871813j)
11560000000.0,(0.32748340642993007-0.37639278458285524j)
11640000000.0,(0.3148843170735066-0.3856557985700339j)
11720000000.0,(0.30201263638084336-0.3944704896819616j)
11800000000.0,(0.28888516198330344-0.4028292067938968j)
11880000000.0,(0.27551885929552095-0.41072494598940107j)
11960000000.0,(0.2619308369364224-0.4181513488856964j)
12040000000.0,(0.24813832293334248-0.42510270013729184j)
12120000000.0,(0.23415864171899323-0.43157392422406937j)
12200000000.0,(0.22000919191839302-0.4375605816270484j)
12280000000.0,(0.20570742491081193-0.44305886449059567j)
12360000000.0,(0.19127082414050797-0.44806559186405065j)
12440000000.0,(0.17671688513967365-0.4525782046086794j)
12520000000.0,(0.1620630962177186-0.4565947600477066j)
12600000000.0,(0.1473269197628559-0.4601139264279899j)
12680000000.0,(0.13252577409513222-0.4631349772519409j)
12760000000.0,(0.11767701580453091-0.4656577855276013j)
12840000000.0,(0.1027979225036777-0.4676828179736384j)
12920000000.0,(0.08790567592207682-0.46921112920453295j)
13000000000.0,(0.07301734526765628-0.4702443559095771j)
13080000000.0,(0.0581498707817227-0.4707847110277115j)
13160000000.0,(0.04332004741523454-0.4708349779088149j)
13240000000.0,(0.028544508557529956-0.47039850444102765j)
13320000000.0,(0.013839709753187624-0.4694791971132206j)
13400000000.0,(-0.0007780876514248962-0.46808151497192513j)
13480000000.0,(-0.015292832983326477-0.4662104634230909j)
13560000000.0,(-0.029688702883138893-0.4638715878210945j)
13640000000.0,(-0.0439501181446089-0.4610709667805305j)
13720000000.0,(-0.05806176077784229-0.45781520514064983j)
13800000000.0,(-0.072008591310161-0.4541114265079276j)
13880000000.0,(-0.08577586632747847-0.44996726529918885j)
13960000000.0,(-0.09934915624777368-0.44539085820608j)
14040000000.0,(-0.11271436330673316-0.4403908350014534j)
14120000000.0,(-0.12585773972414718-0.43497630860944175j)
14200000000.0,(-0.138765906008339-0.4291568643636252j)
14280000000.0,(-0.15142586934493513-0.42294254838172574j)
14360000000.0,(-0.16382504200581863-0.41634385499061183j)
14440000000.0,(-0.17595125970431175-0.409371713142032j)
14520000000.0,(-0.1877927998136271-0.4020374717673023j)
14600000000.0,(-0.19933839935755793-0.39435288402808366j)
14680000000.0,(-0.21057727267538634-0.38633009043022426j)
14760000000.0,(-0.221499128657131-0.3779816007783683j)
14840000000.0,(-0.23209418744067686-0.3693202749604037j)
14920000000.0,(-0.24235319645905135-0.3603593025627846j)
15000000000.0,(-0.25226744572425713-0.35111218133008354j)
15080000000.0,(-0.2618287822335798-0.3415926944947015j)
15160000000.0,(-0.27102962338529546-0.3318148870152924j)
15240000000.0,(-0.27986296929309085-0.3217930407749716j)
15320000000.0,(-0.2883224138923648-0.3115416488026641j)
15400000000.0,(-0.2964021547367717-0.30107538859276173j)
15480000000.0,(-0.30409700138990925-0.2904090946095379j)
15560000000.0,(-0.3114023823248383-0.27955773007328494j)
15640000000.0,(-0.3183143502530672-0.2685363581348186j)
15720000000.0,(-0.3248295858146253-0.25736011255366437j)
15800000000.0,(-0.3309453995717938-0.24604416800282125j)
15880000000.0,(-0.33665973226081325-0.2346037101293664j)
15960000000.0,(-0.34197115326828936-0.22305390550525364j)
16040000000.0,(-0.3468788573119563-0.21140987160639463j)
16120000000.0,(-0.3513826593187566-0.19968664696043503j)
16200000000.0,(-0.3554829875066984-0.1878991616045425j)
16280000000.0,(-0.3591808746904774-0.1760622079939818j)
16360000000.0,(-0.3624779478443109-0.16419041250023697j)
16440000000.0,(-0.36537641596853654-0.15229820763407037j)
16520000000.0,(-0.3678790563192691-0.14039980512408565j)
16600000000.0,(-0.36998919907252215-0.1285091699752982j)
16680000000.0,(-0.37171071050559035-0.1166399956248544j)
16760000000.0,(-0.3730479747890468-0.10480568030355518j)
16840000000.0,(-0.3740058744922507-0.09301930470232735j)
16920000000.0,(-0.37458976991373205-0.0812936110323071j)
17000000000.0,(-0.37480547735512454-0.069640983555963j)
