0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00012341,0.00034604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.0271753,0.0181922,0.0122786,0.00778364,0.00516517,0.0030277,0.00205386,0.00103582,0.000805738,0.000270259,0.00034604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.444981,0.367756,0.298321,0.236804,0.184643,0.140735,0.105523,0.0771813,0.0556996,0.0390405,0.0271753,0.0181922,0.0122786,0.00778364,0.00516517,0.0030277,0.00205386,0.00103582,0.000805738,0.000270259,0.00034604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.990173,0.999877,0.990173,0.960666,0.914055,0.85202,0.778924,0.697553,0.61275,0.527169,0.444981,0.367756,0.298321,0.236804,0.184643,0.140735,0.105523,0.0771813,0.0556996,0.0390405,0.0271753,0.0181922,0.0122786,0.00778364,0.00516517,0.0030277,0.00205386,0.00103582,0.000805738,0.000270259,0.00034604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.298321,0.367756,0.444981,0.527169,0.61275,0.697553,0.778924,0.85202,0.914055,0.960666,0.990173,0.999877,0.990173,0.960666,0.914055,0.85202,0.778924,0.697553,0.61275,0.527169,0.444981,0.367756,0.298321,0.236804,0.184643,0.140735,0.105523,0.0771813,0.0556996,0.0390405,0.0271753,0.0181922,0.0122786,0.00778364,0.00516517,0.0030277,0.00205386,0.00103582,0.000805738,0.000270259,0.00034604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.0122786,0.0181922,0.0271753,0.0390405,0.0556996,0.0771813,0.105523,0.140735,0.184643,0.236804,0.298321,0.367756,0.444981,0.527169,0.61275,0.697553,0.778924,0.85202,0.914055,0.960666,0.990173,0.999877,0.990173,0.960666,0.914055,0.85202,0.778924,0.697553,0.61275,0.527169,0.444981,0.367756,0.298321,0.236804,0.184643,0.140735,0.105523,0.0771813,0.0556996,0.0390405,0.0271753,0.0181922,0.0122786,0.00778364,0.00516517,0.0030277,0.00205386,0.00103582,0.000805738,0.000270259,7.86454e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.000190465,-2.94957e-16,0.00034604,0.000270259,0.000805738,0.00103582,0.00205386,0.0030277,0.00516517,0.00778364,0.0122786,0.0181922,0.0271753,0.0390405,0.0556996,0.0771813,0.105523,0.140735,0.184643,0.236804,0.298321,0.367756,0.444981,0.527169,0.61275,0.697553,0.778924,0.85202,0.914055,0.960666,0.990173,0.999877,0.990173,0.960666,0.914055,0.85202,0.778924,0.697553,0.61275,0.527169,0.444714,0.367654,0.297807,0.236255,0.183395,0.139029,0.102488,0.0727621,0.0486264,0.0287404,0.0117274,0.00445343,0.0015766,0.000528623,0.000161681,3.92229e-05,6.64445e-06,7.30965e-07,4.92196e-08,1.83436e-09,2.89165e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012346,-0.000123297,0.000123658,-0.000122874,0.000124544,-0.000121057,0.000128195,-0.00011387,0.000142054,-8.7697e-05,0.000190465,-2.94957e-16,0.00034604,0.000270259,0.000805738,0.00103582,0.00205386,0.0030277,0.00516517,0.00778364,0.0122786,0.0181922,0.0271753,0.0390405,0.0556996,0.0771813,0.105523,0.140735,0.184643,0.236804,0.298053,0.367654,0.444468,0.52662,0.611502,0.695847,0.775889,0.847601,0.906981,0.950366,0.974725,0.977915,0.958847,0.917567,0.855226,0.773961,0.676697,0.566906,0.448358,0.324889,0.2002,0.113006,0.0587408,0.0282383,0.012603,0.0052384,0.0020329,0.00074084,0.000253483,7.91543e-05,2.13922e-05,4.75713e-06,8.41704e-07,1.16168e-07,1.23335e-08,9.92694e-10,5.93331e-11,2.54762e-12,7.42112e-14,1.31239e-15,1.06321e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.000123409,0.000123411,-0.000123406,0.000123419,-0.000123388,0.00012346,-0.000123297,0.000123658,-0.000122874,0.000124544,-0.000121057,0.000128195,-0.00011387,0.000142054,-8.7697e-05,-7.69297e-05,-0.000101593,-0.000167632,-0.000278712,-0.000441756,-0.000669933,-0.000981029,-0.00139155,-0.00190804,-0.00251646,-0.00316931,-0.00376955,-0.00415129,-0.00405897,-0.00312882,-0.000877636,0.00329526,0.0100876,0.0202512,0.0345239,0.0535393,0.0777195,0.107163,0.141544,0.180041,0.221309,0.263519,0.304457,0.341683,0.372749,0.395425,0.36013,0.291053,0.212255,0.141081,0.0860527,0.0484157,0.0252309,0.012223,0.00552169,0.002332,0.000923676,0.000344191,0.000120255,3.87485e-05,1.12103e-05,2.83351e-06,6.12744e-07,1.11835e-07,1.70838e-08,2.17184e-09,2.28619e-10,1.98094e-11,1.40163e-12,8.00709e-14,3.63305e-15,1.27792e-16,3.35771e-18,6.19916e-20,7.17098e-22,3.90925e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,0.00012341,-0.00012341,-0.000143984,-0.000225003,-0.000390262,-0.000672381,-0.00112408,-0.00182916,-0.00291148,-0.00454266,-0.00694979,-0.0104235,-0.0153244,-0.0220851,-0.0312029,-0.0432223,-0.0587039,-0.07818,-0.102099,-0.130761,-0.16425,-0.202368,-0.244591,-0.290037,-0.337472,-0.385355,-0.431903,-0.475208,-0.513351,-0.544536,-0.567206,-0.580134,-0.58247,-0.573752,-0.553868,-0.522985,-0.481458,-0.429746,-0.368339,-0.297732,-0.218437,-0.131045,-0.0363323,0.0568471,0.134634,0.186057,0.206406,0.198303,0.17003,0.132105,0.0938572,0.0613576,0.037082,0.0207975,0.0108605,0.00529603,0.00241778,0.00103588,0.000417622,0.000158662,5.66305e-05,1.88004e-05,5.71596e-06,1.5652e-06,3.8059e-07,8.13409e-08,1.51781e-08,2.46231e-09,3.46299e-10,4.21248e-11,4.42133e-12,3.99204e-13,3.08839e-14,2.03625e-15,1.13591e-16,5.30918e-18,2.05177e-19,6.43741e-21,1.59767e-22,3.01728e-24,4.07283e-26,3.49906e-28,1.43736e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
